"","X","Participant","Group","firstSample","Val","Condition","in_samples","out_samples","In.Est","Out.Est"
"74",74,"R_1kHQUMRLHfxW2Gx","Dem",0,"neg",2,5,0,60,71
"75",75,"R_1kIiHcQU5yio9eB","Dem",1,"neg",2,5,0,77,67
"76",76,"R_1KjWYLTtYYZRE5o","Dem",1,"neg",1,4,4,63,34
"77",77,"R_1Lby67brZmsrtEX","Dem",0,"neg",3,2,2,70,63
"78",78,"R_1lcmGlOxQnWtWId","Dem",1,"neg",3,3,0,68,64
"79",79,"R_1lhHxgPkuxSkwhK","Dem",0,"neg",2,12,12,65,55
"80",80,"R_1lhpsFdn7KHklR1","Dem",0,"neg",1,3,3,70,70
"81",81,"R_1LItzvkFJF9w046","Dem",0,"neg",2,5,5,63,68
"82",82,"R_1LUMI4GCytPrfPD","Dem",0,"neg",1,5,5,70,60
"83",83,"R_1LUUWaUCopTioTM","Dem",0,"neg",1,1,1,50,76
"84",84,"R_1LXNGjnLAtOX6Yk","Dem",0,"neg",3,13,12,65,60
"85",85,"R_1mDGXqYx4OmQeoT","Dem",0,"pos",1,7,8,66,71
"86",86,"R_1mgtcCko6CslO8H","Dem",1,"pos",3,5,6,65,65
"87",87,"R_1mKI8hGpgTazdVS","Dem",0,"neg",3,3,3,60,59
"88",88,"R_1mOXBHlEd6iiafz","Dem",1,"neg",3,5,5,57,48
"89",89,"R_1mV09eGvqUapjlK","Dem",0,"neg",3,7,10,65,56
"90",90,"R_1MYeTg85RKLAIWL","Dem",0,"neg",2,2,0,60,62
"91",91,"R_1N2FekwhWLcqBNV","Dem",1,"pos",2,2,2,67,74
"93",93,"R_1Ne8vAlwib8WePD","Dem",0,"neg",2,6,5,68,52
"94",94,"R_1NfDTzymqjprPHo","Dem",0,"pos",3,1,1,70,70
"95",95,"R_1NsisypeYGrQBnw","Dem",0,"pos",1,6,6,71,64
"96",96,"R_1NxoPr5iFwoBkLu","Dem",1,"neg",1,3,2,60,65
"97",97,"R_1OBIlVRgRkt23jx","Dem",0,"pos",1,11,11,71,66
"98",98,"R_1OE2RsZvCoKS7ZR","Dem",0,"neg",2,5,5,58,64
"99",99,"R_1oj53bIww0ZsUzT","Dem",0,"pos",1,6,6,73,58
"100",100,"R_1OlQrUxhQPgVL1T","Dem",1,"neg",1,6,3,67,67
"101",101,"R_1ON6YxSVLKqNevL","Dem",0,"pos",3,3,3,71,71
"102",102,"R_1P1WUBxIIX7cTd9","Dem",0,"pos",1,8,8,62,64
"103",103,"R_1P5yQHikdBnU2Hi","Dem",0,"neg",2,3,2,63,64
"104",104,"R_1pLqwX1InmHtZmL","Dem",0,"neg",2,2,1,59,59
"105",105,"R_1PR7TfCycVDoPrf","Dem",1,"neg",1,2,3,65,70
"106",106,"R_1pxP5LfOgBR50R2","Dem",1,"pos",1,2,2,55,65
"107",107,"R_1Q4OQFOr6NmNN2u","Dem",0,"neg",2,5,4,65,70
"108",108,"R_1QcOR6KJpZjA80g","Dem",0,"neg",2,3,0,55,75
"109",109,"R_1QhmcsbbEs7tlIL","Dem",1,"neg",3,2,0,85,70
"110",110,"R_1QMKKV07RCKukZV","Dem",0,"neg",3,1,1,67,62
"111",111,"R_1QtFS53hhbogeZr","Dem",0,"pos",2,5,5,72,66
"112",112,"R_1qVBwHEnI26zAIR","Dem",1,"pos",2,5,5,69,51
"113",113,"R_1r3vvfp3XNUKdxn","Dem",0,"neg",3,7,6,50,54
"114",114,"R_1r78NJP2EkkqAiF","Dem",0,"pos",1,4,5,58,64
"115",115,"R_1rNQHYBoevgIo6a","Dem",0,"neg",1,7,7,61,74
"116",116,"R_20Maut6GDVLf4GR","Dem",1,"neg",2,4,4,65,65
"117",117,"R_20MSAbj6N4ElnZG","Dem",0,"neg",2,3,0,70,72
"118",118,"R_20Thlcda7ybsC18","Dem",0,"pos",2,9,10,43,43
"119",119,"R_20UVm5kqeCOKvL2","Dem",0,"neg",3,5,5,52,58
"120",120,"R_210P8fZW92FIb18","Dem",1,"pos",3,2,0,63,66
"121",121,"R_214cCYLoDG81rbV","Dem",0,"neg",1,1,1,60,61
"122",122,"R_21yR9yhlUaaWIZ3","Dem",0,"pos",3,12,9,78,52
"123",123,"R_22YczHecoja2vcv","Dem",0,"neg",2,8,6,76,70
"124",124,"R_22ykw5SZJ4v5bE8","Dem",0,"neg",2,9,8,60,70
"125",125,"R_23W7GBywPV8LhT1","Dem",0,"neg",3,0,3,70,63
"126",126,"R_23WDlFQnhs8Hjke","Dem",0,"pos",1,2,2,62,60
"127",127,"R_24wMECRVfPxeuSH","Dem",0,"pos",3,2,0,66,48
"128",128,"R_24wtJbPOGlN7EdI","Dem",1,"neg",1,7,9,63,68
"129",129,"R_25Bm7Hax6KMZmGg","Dem",0,"neg",3,13,12,64,65
"130",130,"R_25EeEcL1S2Q6kJE","Dem",1,"neg",1,3,3,62,66
"131",131,"R_25T2AhgOtgs5bxI","Dem",0,"pos",3,8,8,58,72
"132",132,"R_25urix4pJj1gzct","Dem",1,"pos",1,4,5,53,68
"133",133,"R_263kIxSWcvF4ywc","Dem",0,"neg",1,4,4,62,60
"134",134,"R_264lZKvfjQvZOtJ","Dem",0,"neg",1,2,2,63,70
"135",135,"R_26kzoD6cwRiqIsf","Dem",0,"pos",3,9,11,73,65
"136",136,"R_26nlPJMvLBxAoyR","Dem",0,"pos",3,3,3,75,66
"137",137,"R_27asuAdA9DV6OOM","Dem",1,"pos",3,5,6,65,73
"138",138,"R_27DWL9RZyzJbLtY","Dem",0,"pos",3,2,0,68,61
"139",139,"R_27f0XK5lzgu85lZ","Dem",1,"pos",3,6,5,62,60
"140",140,"R_27OPmruHfJJ9R6W","Dem",0,"neg",2,1,1,60,54
"141",141,"R_27qgaoM37of0ZQE","Dem",0,"pos",3,6,3,65,60
"142",142,"R_27stelthzZdthXW","Dem",1,"pos",2,2,3,60,78
"143",143,"R_27THb0n9DZTYYM3","Dem",0,"neg",2,9,8,57,0
"144",144,"R_28AuUcG8urk6eYd","Dem",0,"neg",1,9,9,58,66
"145",145,"R_28FIhpqsElrzX6F","Dem",0,"neg",1,8,8,55,65
"146",146,"R_28Hvlq5s9FiM4pv","Dem",0,"neg",2,12,9,61,31
"147",147,"R_29lTT95tRD3Anpe","Dem",0,"neg",1,1,1,70,65
"148",148,"R_29mQuzmOWf08P4Y","Dem",0,"pos",1,6,6,62,40
"149",149,"R_29tO2e1oqRVefIW","Dem",0,"pos",3,6,5,68,56
"150",150,"R_2aeFSVlOwa6ymHP","Dem",0,"neg",2,4,4,55,64
"151",151,"R_2ahLKJU0YLes7bv","Dem",0,"pos",3,2,2,71,76
"152",152,"R_2anb2WBHZ0ZDsjD","Dem",0,"neg",3,5,5,65,60
"153",153,"R_2anI9dq1AUCvH2L","Dem",0,"neg",3,10,10,67,50
"154",154,"R_2aQDR3epB8finss","Dem",0,"pos",2,2,2,65,55
"155",155,"R_2axdd9bIMCKdkN6","Dem",1,"neg",1,8,8,61,61
"156",156,"R_2AXNRKS9wR4Ci5Y","Dem",1,"pos",2,7,7,71,64
"157",157,"R_2AYh9ADWMW7AiEm","Dem",0,"pos",3,7,7,75,65
"158",158,"R_2azR7u3Ofz3lJpO","Dem",0,"pos",1,5,6,65,66
"159",159,"R_2B2Ieli6WdoPkXn","Dem",0,"pos",2,7,6,55,63
"160",160,"R_2bJXeQTwiAEizlF","Dem",0,"pos",1,4,6,84,76
"161",161,"R_2bObqwG3BSQSPfM","Dem",1,"neg",1,2,0,62,54
"162",162,"R_2BqXbf4ya2wbuoM","Dem",1,"pos",3,6,4,72,64
"163",163,"R_2c6mshxDaVIXnCg","Dem",0,"pos",3,4,4,51,60
"164",164,"R_2c8Hpoy2F3GYd68","Dem",0,"neg",1,5,5,52,78
"165",165,"R_2Ce5mJdiLXtUlkD","Dem",1,"neg",2,3,3,70,54
"166",166,"R_2ciuAlYanjqjtrb","Dem",0,"neg",2,1,1,56,66
"167",167,"R_2CNWNVoDEzXALlo","Dem",0,"neg",2,4,4,52,69
"168",168,"R_2Cp8pFTUtVjAghJ","Dem",1,"neg",1,2,1,58,60
"169",169,"R_2cqm2jspjVv4Npy","Dem",1,"neg",2,5,4,66,48
"170",170,"R_2D8P4M6pVDoDiZ1","Dem",0,"neg",3,8,5,41,30
"171",171,"R_2dL2aChEzCOvGpn","Dem",0,"pos",1,2,2,69,84
"172",172,"R_2DY3kJtoZMuU4G6","Dem",0,"neg",2,4,4,50,65
"173",173,"R_2DYnMaarbJd64kM","Dem",0,"neg",1,4,3,62,40
"174",174,"R_2e4Occ6a0bN5e77","Dem",1,"neg",2,3,3,70,73
"175",175,"R_2EAAaO7UWfb2P01","Dem",0,"neg",1,4,3,52,53
"176",176,"R_2EG1Cn3R1oYRb7S","Dem",1,"pos",2,3,2,95,68
"177",177,"R_2EiNXfaKkrl2MTr","Dem",0,"pos",2,4,6,65,58
"178",178,"R_2EtucKDMyoiW8Zu","Dem",1,"pos",3,2,1,68,70
"179",179,"R_2f1CI6rvgAZlvwt","Dem",1,"neg",2,5,5,59,54
"180",180,"R_2f7Cg2qhRg8jjxQ","Dem",0,"pos",1,3,2,60,71
"181",181,"R_2hGydx6HXCsrt6h","Dem",0,"pos",3,5,3,75,60
"182",182,"R_2OZovf1zJDnhhwV","Dem",1,"neg",1,6,5,65,67
"183",183,"R_2PmPDvfAIWIJdGq","Dem",0,"neg",2,5,3,57,70
"184",184,"R_2Pzq91a6OI1z88T","Dem",0,"neg",2,4,4,60,69
"185",185,"R_2q9Syd9nKCYgJg2","Dem",1,"neg",3,18,18,80,41
"186",186,"R_2qgf7A55zQQzXU4","Dem",1,"neg",1,2,1,61,49
"187",187,"R_2QmTKSJ6joiQAmQ","Dem",0,"pos",1,2,3,65,70
"188",188,"R_2QoBQsz1P8dVYa6","Dem",1,"pos",2,3,3,63,64
"189",189,"R_2QSbiiqbdwqAfKj","Dem",0,"pos",1,4,4,75,26
"190",190,"R_2QXLmyBDIAr6G46","Dem",1,"pos",1,2,2,76,66
"191",191,"R_2QyYgWRj4XBPZbA","Dem",0,"neg",3,3,3,68,56
"192",192,"R_2rBf9fhMScVSgDx","Dem",1,"neg",2,8,8,70,54
"193",193,"R_2rGFSc9D48WRsq3","Dem",1,"neg",2,3,2,69,73
"194",194,"R_2rj5sdOXRoheRTJ","Dem",0,"pos",3,3,2,71,70
"195",195,"R_2rkGTdhCtVvcgyj","Dem",0,"neg",3,7,7,58,58
"196",196,"R_2rNqeqYl0GxtXjn","Dem",0,"pos",1,5,5,60,65
"197",197,"R_2ro8KkGMv5FOadI","Dem",0,"neg",2,2,0,65,62
"198",198,"R_2S02ZSoHg433yuO","Dem",0,"pos",1,1,1,65,55
"199",199,"R_2S8ktcDRh5SKXVy","Dem",0,"neg",1,5,8,57,67
"200",200,"R_2SB2i3fQJQCXCM9","Dem",0,"pos",1,3,5,75,67
"201",201,"R_2scGKuvYhN8Pvoc","Dem",0,"neg",3,8,8,64,69
"202",202,"R_2SDLSIAmDNC6zac","Dem",0,"neg",2,10,10,62,71
"203",203,"R_2SjKudIgaT3LRL4","Dem",1,"neg",2,6,6,60,54
"204",204,"R_2SJNL9KlUunkcoi","Dem",0,"pos",3,2,2,74,27
"205",205,"R_2Sk3H7oz0mqy7rU","Dem",0,"neg",1,5,4,64,68
"206",206,"R_2TAHBAP5ucQNZoX","Dem",1,"pos",2,3,3,65,65
"207",207,"R_2tfKXmLC3pf2HoO","Dem",0,"neg",3,4,3,63,58
"208",208,"R_2TGfTD8uck0s6PB","Dem",0,"pos",3,1,1,68,53
"209",209,"R_2tLmPeVsCvVkYLH","Dem",0,"neg",3,4,5,70,61
"210",210,"R_2TobAx7VJWx7BwU","Dem",0,"neg",1,8,8,79,41
"211",211,"R_2tzEsru8qzdjL02","Dem",0,"neg",2,10,10,57,55
"212",212,"R_2uHA086THzLuusv","Dem",0,"pos",1,15,17,66,50
"213",213,"R_2uUiMuDHlSObWIx","Dem",0,"pos",3,4,4,68,56
"214",214,"R_2uX6dpDzHmdl0mh","Dem",0,"pos",1,10,10,75,60
"215",215,"R_2v0NuG1GwbrCf9F","Dem",0,"pos",3,4,3,69,72
"216",216,"R_2v2f38WQYX2jZA0","Dem",1,"neg",3,7,10,63,55
"217",217,"R_2v2f6ThtEBww5UC","Dem",1,"neg",3,5,5,78,54
"218",218,"R_2v6uqopr9iEv7Zj","Dem",0,"neg",3,2,1,83,65
"219",219,"R_2wGD8l4ZBMTKrki","Dem",0,"neg",1,5,5,91,3
"220",220,"R_2WIRnu4aQzh1ZPU","Dem",1,"neg",2,4,4,59,72
"221",221,"R_2wKPaNcTb6jAAfi","Dem",0,"pos",1,11,11,49,55
"222",222,"R_2wnVmkSxEaAghsi","Dem",1,"pos",2,0,3,80,74
"223",223,"R_2wT4pqSGg1j6lS8","Dem",1,"neg",1,8,7,48,60
"224",224,"R_2WTmujaLjFtDIKe","Dem",0,"neg",2,6,6,58,62
"225",225,"R_2wtznT5oa02gIe3","Dem",1,"pos",3,4,4,68,63
"226",226,"R_2wuhdBljcJtZeal","Dem",0,"pos",2,7,5,76,61
"227",227,"R_2XcSYxdgxW6TMhc","Dem",0,"neg",2,11,11,58,62
"228",228,"R_2xCYjRufSEj1myM","Dem",0,"neg",2,5,3,55,66
"229",229,"R_2xJfeEUdB8nzJhr","Dem",0,"neg",1,13,13,64,76
"230",230,"R_2xLVI34aZQlI8hf","Dem",0,"pos",2,3,4,72,54
"231",231,"R_2XnRSa9Mi0U2nib","Dem",1,"neg",3,12,12,65,63
"232",232,"R_2y18udksSYT7wXR","Dem",0,"neg",3,3,1,68,65
"233",233,"R_2YPR9EBWEYGHQrK","Dem",0,"neg",2,6,4,52,60
"234",234,"R_2ZBpO7EdyiL50x3","Dem",0,"pos",3,8,7,76,62
"235",235,"R_2ZD3Hcf3izBNjYs","Dem",0,"pos",2,9,9,62,68
"236",236,"R_2ZE1s4LduN26t9E","Dem",0,"pos",2,6,4,55,62
"237",237,"R_2ze7N0UYcI32Hr6","Dem",1,"neg",2,6,5,60,52
"238",238,"R_2ZIJhrP0Cv0YxRt","Dem",1,"pos",3,7,7,68,65
"239",239,"R_2zl6C7SqmCjI9wK","Dem",0,"neg",3,14,10,65,71
"240",240,"R_2zMTkeNJd0t24IV","Dem",1,"neg",1,3,3,64,53
"241",241,"R_2ZNR1enS85j6KDF","Dem",1,"pos",3,4,4,66,67
"242",242,"R_2zSZq1F9OiV5MRm","Dem",1,"neg",1,8,8,65,38
"243",243,"R_2zYFHe3K14bHYEb","Dem",0,"neg",3,4,4,60,62
"244",244,"R_30dA7shA7YmPE5e","Dem",0,"pos",2,6,6,65,61
"245",245,"R_30isZheg4jcqQZG","Dem",1,"neg",2,3,3,64,55
"246",246,"R_30kHTRAFiuNM5WC","Dem",1,"neg",1,3,2,65,63
"247",247,"R_30pN6bmc4hEHN0o","Dem",0,"neg",2,4,3,51,59
"248",248,"R_31cS6FKqkvxZJLz","Dem",1,"neg",1,5,6,61,65
"249",249,"R_325u5oRfmRpcca2","Dem",0,"pos",3,6,5,70,71
"250",250,"R_32SlY0eXUQvYRqM","Dem",0,"pos",3,3,2,63,55
"251",251,"R_33DNBshdLvH3LIB","Dem",1,"neg",2,6,6,72,69
"252",252,"R_33fCqd82qoZRXuc","Dem",1,"neg",1,2,2,50,67
"253",253,"R_33lLaRxNzcmp6mN","Dem",0,"pos",2,12,9,55,55
"254",254,"R_33rviBMWmwxitQP","Dem",0,"neg",2,7,6,56,59
"255",255,"R_3CCNBLqMhKaY59w","Dem",0,"neg",3,4,5,63,60
"256",256,"R_3CUwPHvJaUW83ho","Dem",0,"neg",3,6,6,71,41
"257",257,"R_3CUxzCP5zxGLzCm","Dem",0,"pos",1,8,9,65,62
"258",258,"R_3dDQUjuu26BZTHA","Dem",0,"neg",2,8,4,65,55
"259",259,"R_3DjsT1uo0M3LTCc","Dem",0,"pos",3,10,10,71,62
"260",260,"R_3dMUR4MPlj9Lxyw","Dem",0,"neg",3,23,27,64,58
"261",261,"R_3EgS1ajYY4faKpv","Dem",0,"neg",2,2,2,67,50
"262",262,"R_3ErTpbFYA5UDgS1","Dem",1,"neg",1,2,2,78,58
"263",263,"R_3ESkUIJ57LiKnQX","Dem",0,"pos",1,2,0,71,71
"264",264,"R_3EtkifUAm3Svzmx","Dem",0,"neg",1,11,10,61,68
"265",265,"R_3EW4PqFTarp9D1y","Dem",1,"neg",3,7,7,60,65
"266",266,"R_3ewdGwIET5jh6cR","Dem",0,"pos",3,5,0,72,61
"267",267,"R_3fVL3ADY2Wt4TFO","Dem",0,"neg",3,10,11,55,47
"268",268,"R_3fwy2ZfyMHLoG55","Dem",1,"neg",1,3,2,49,61
"269",269,"R_3FXMCSPk7AqAA48","Dem",0,"neg",2,4,4,73,75
"270",270,"R_3g0KgaOMIfoTwjk","Dem",1,"neg",2,10,10,61,61
"271",271,"R_3g2a62Aw9R2aoAq","Dem",0,"neg",2,7,7,49,69
"272",272,"R_3g627Iu4RDco5hV","Dem",0,"neg",2,5,5,60,56
"273",273,"R_3G6ZhHikLlLH7nI","Dem",0,"neg",3,2,1,51,50
"274",274,"R_3Ge1Jnbd2CAPAFY","Dem",1,"neg",3,5,4,58,39
"275",275,"R_3GqOUPPV9L20dLk","Dem",0,"neg",2,5,5,62,57
"276",276,"R_3Gr04PD76Knkdru","Dem",0,"neg",3,2,2,86,40
"277",277,"R_3h3JISzPrxsc9VM","Dem",0,"neg",2,5,6,55,60
"278",278,"R_3hfL2DgqkUDz5ZS","Dem",0,"neg",2,6,3,60,65
"279",279,"R_3hFoHYtNV3k5lnH","Dem",0,"pos",1,7,7,60,78
"280",280,"R_3HNRdgidAZxm0OS","Dem",0,"pos",2,11,10,68,65
"281",281,"R_3HOIc45nAupoM4N","Dem",0,"neg",1,3,2,50,45
"282",282,"R_3hroQ4fz24WjvXH","Dem",0,"neg",3,2,1,60,55
"283",283,"R_3htmijEgq9cS1UP","Dem",0,"pos",2,4,0,65,50
"284",284,"R_3IccgC1UdwPymOg","Dem",0,"neg",2,40,11,57,67
"285",285,"R_3imL4ienzN2eCPq","Dem",1,"pos",2,3,3,71,60
"286",286,"R_3IRhuFKyszrN81O","Dem",0,"pos",3,10,11,71,62
"287",287,"R_3Jec24z2NVthpdb","Dem",0,"pos",3,1,1,60,53
"288",288,"R_3JhjYQbwHo70C5E","Dem",0,"neg",2,4,4,57,63
"290",290,"R_3JKPC6AqbLz8pHc","Dem",0,"pos",1,2,2,73,60
"291",291,"R_3JLB94GsssRr7EV","Dem",0,"neg",2,2,2,62,72
"292",292,"R_3JLDfwVWWNu5BAl","Dem",0,"neg",1,3,0,82,53
"293",293,"R_3JryI97lIHdFrld","Dem",0,"neg",3,5,5,74,67
"294",294,"R_3JsFykpr1CPcpLt","Dem",1,"neg",2,5,5,66,54
"295",295,"R_3kbrio6ShymiCAU","Dem",0,"neg",2,6,4,65,70
"296",296,"R_3kBxguV1FRndpnp","Dem",0,"pos",1,4,4,66,69
"297",297,"R_3kcVHm2QlpNx7EG","Dem",0,"neg",3,4,4,67,39
"298",298,"R_3KILo8GFRZsMuBT","Dem",0,"neg",2,5,5,59,72
"299",299,"R_3kOqh7iGnnrqSpl","Dem",0,"neg",3,1,1,59,57
"300",300,"R_3KPEUmOR6Ru8X7J","Dem",0,"pos",3,8,7,62,55
"301",301,"R_3KqZADkdMSnDYLT","Dem",1,"pos",1,3,3,61,65
"302",302,"R_3KUWwiljlI5I2Hx","Dem",0,"pos",3,4,2,61,71
"303",303,"R_3KxzScNHSQLDRcW","Dem",1,"neg",2,7,7,65,50
