"","X","Participant","imp","Val","Condition","group","in_samples","out_samples","firstSample","In.Est","Out.Est"
"599",599,"R_1KxKc5Ei4vcYpKe","posIngroup","pos",2,"rep",4,0,0,62,70
"600",600,"R_1l9RaIQqXppTOxi","posOutgroup","pos",2,"rep",5,5,0,85,70
"601",601,"R_1LdKWY6MScIlxcC","posIngroup","pos",1,"rep",5,5,1,60,60
"602",602,"R_1LnyGNJoabUpleP","negOutgroup","neg",3,"rep",3,3,1,58,44
"603",603,"R_1LoGQHZtg4qLKBe","posIngroup","pos",3,"rep",4,0,1,61,60
"604",604,"R_1LpLmyrriAnNUp2","negOutgroup","neg",1,"rep",3,3,0,68,83
"605",605,"R_1lrt0cH3MREzERi","posIngroup","pos",3,"rep",1,1,0,70,70
"606",606,"R_1lv48xwzljsdH0B","posIngroup","pos",3,"rep",6,0,0,63,56
"607",607,"R_1mCNTIUAYOpDKIK","posOutgroup","pos",3,"rep",5,4,0,68,62
"608",608,"R_1MRjU7OFPfQiulg","negOutgroup","neg",1,"rep",7,6,1,67,65
"609",609,"R_1mWQ75yMUDqItn6","negIngroup","neg",3,"rep",10,13,0,72,59
"610",610,"R_1Ngm7YFhejL3n7Z","negIngroup","neg",3,"rep",7,3,0,71,70
"611",611,"R_1nUSrKjKmlqPU6M","posIngroup","pos",1,"rep",3,3,0,76,57
"612",612,"R_1o0DRSTMdfJAHJK","negIngroup","neg",1,"rep",5,5,0,55,71
"613",613,"R_1o6D0CDBW7SMflX","negOutgroup","neg",3,"rep",1,0,1,88,93
"614",614,"R_1ODdyMIzFeLAgZz","negOutgroup","neg",3,"rep",2,5,0,74,67
"615",615,"R_1oistqebJBu8Mm0","posOutgroup","pos",1,"rep",7,8,1,55,60
"616",616,"R_1OOBfMuIgzUBBEM","posOutgroup","pos",2,"rep",13,10,0,60,70
"617",617,"R_1opxAdzMGByp9wi","posOutgroup","pos",3,"rep",2,2,0,70,68
"618",618,"R_1OUiGgGFweMZYaw","negOutgroup","neg",2,"rep",4,4,0,100,14
"619",619,"R_1OZfYfNhUsGkqrb","posOutgroup","pos",3,"rep",1,1,0,66,66
"620",620,"R_1P5f4QW1ikffgRs","negOutgroup","neg",2,"rep",3,3,0,60,68
"621",621,"R_1PdAfHGyTfzUxyD","negIngroup","neg",2,"rep",6,5,0,39,40
"622",622,"R_1pGoiDSr3Qbl1sP","posIngroup","pos",2,"rep",5,7,0,55,62
"623",623,"R_1pmJ68HmDbYC8B3","posOutgroup","pos",2,"rep",31,6,0,31,47
"624",624,"R_1pMSOQCEqVnwKQ6","negIngroup","neg",3,"rep",3,2,0,90,91
"625",625,"R_1puoUNpikHVf1pD","negIngroup","neg",2,"rep",1,0,0,58,58
"626",626,"R_1pYSXlfLRiGo5HY","negIngroup","neg",2,"rep",5,5,0,69,78
"627",627,"R_1q2oFx5twNu9wmR","posIngroup","pos",3,"rep",4,4,1,76,70
"628",628,"R_1q2S4ICtR9kx8EU","negOutgroup","neg",2,"rep",2,1,0,75,68
"629",629,"R_1Q9FZDGRqsn8gKi","negIngroup","neg",3,"rep",5,6,0,68,61
