"","X","Participant","imp","Val","Condition","group","in_samples","out_samples","firstSample","In.Est","Out.Est"
"820",820,"R_3Hk6SgMWfGDY34a","negOutgroup","neg",3,"rep",39,11,0,65,68
"821",821,"R_3hmrtaNXCrjgHOz","posOutgroup","pos",1,"rep",4,5,0,65,78
"822",822,"R_3Hnt5I4l50nkanH","negOutgroup","neg",3,"rep",7,6,0,59,71
"823",823,"R_3HpQa1DVqHX2dQD","posIngroup","pos",3,"rep",2,0,0,75,60
"824",824,"R_3HRolCuw39zQWv4","negIngroup","neg",1,"rep",6,6,1,51,72
"825",825,"R_3hrvNS0ythWqocA","posIngroup","pos",3,"rep",7,8,0,65,60
"826",826,"R_3HTSAxWax5Nc5Ja","negIngroup","neg",3,"rep",4,4,0,70,60
"827",827,"R_3hu4drDEpZpEi6I","negOutgroup","neg",2,"rep",14,15,0,87,90
"828",828,"R_3hygSJ7lwqGDwsO","posIngroup","pos",2,"rep",34,16,0,73,71
"829",829,"R_3Ia9gfHbmVx0SPO","posIngroup","pos",3,"rep",4,5,0,72,48
"830",830,"R_3iDqJnh2szxRQNG","posOutgroup","pos",2,"rep",2,2,0,59,80
"831",831,"R_3iEHsOuwwe9Stjl","negIngroup","neg",1,"rep",3,3,1,65,65
"832",832,"R_3iHVV2juqcB8U74","posIngroup","pos",1,"rep",3,3,1,66,85
"833",833,"R_3iLjk2ufFvjKmL2","posOutgroup","pos",2,"rep",5,5,0,61,71
"834",834,"R_3iO3EaFbN6Dx6qJ","negOutgroup","neg",1,"rep",3,3,1,85,76
"835",835,"R_3j2qpyMXOfhUld7","negOutgroup","neg",1,"rep",6,7,0,73,67
"836",836,"R_3J8BTdUz1553o1Q","posIngroup","pos",1,"rep",16,17,0,66,66
"837",837,"R_3JELd0algQzoYmM","negOutgroup","neg",1,"rep",10,8,1,60,67
"838",838,"R_3JeMVTJOBNCt0T7","posIngroup","pos",3,"rep",4,2,0,50,67
"839",839,"R_3JmUIhmzGnFBHdv","posIngroup","pos",1,"rep",0,7,0,84,71
"840",840,"R_3JzahueXwsjhqch","negIngroup","neg",2,"rep",3,2,0,69,61
"841",841,"R_3KD7E0pVZuxSqgU","posIngroup","pos",3,"rep",3,3,0,76,60
"842",842,"R_3kMlM6iUQ2jpRct","posOutgroup","pos",2,"rep",2,0,0,70,60
"843",843,"R_3kNGNxkzTcBdFSc","posOutgroup","pos",1,"rep",2,0,0,80,75
"844",844,"R_3kvakotKmTX5o3q","negIngroup","neg",3,"rep",14,20,1,65,75
"846",846,"R_3ltfpRnoSEBp8hH","posIngroup","pos",2,"rep",3,2,0,62,68
"847",847,"R_3LXZwMyfXBXG2ME","posOutgroup","pos",3,"rep",6,6,0,62,58
"848",848,"R_3m3Q2V29OcGWLcl","posOutgroup","pos",3,"rep",1,1,0,67,49
"849",849,"R_3m4rBRSaRDjGtjq","negIngroup","neg",2,"rep",10,10,0,61,56
"850",850,"R_3m8KrVcU0HEz8C0","negOutgroup","neg",1,"rep",4,2,1,71,65
"851",851,"R_3m9qKSvY7yrlSln","posIngroup","pos",2,"rep",4,0,0,70,76
"852",852,"R_3MbecC7pcyvMjOr","posOutgroup","pos",3,"rep",0,4,0,70,70
"853",853,"R_3mdxHPPtEbR27sV","negIngroup","neg",1,"rep",5,5,0,60,28
"854",854,"R_3MKVPoZ6gcisKXC","negOutgroup","neg",2,"rep",11,10,1,62,59
"855",855,"R_3Mmm9Fnu8aQcAHB","negIngroup","neg",1,"rep",9,7,0,55,65
"856",856,"R_3MnBFtVRbgUrdce","negIngroup","neg",2,"rep",3,3,0,64,88
"857",857,"R_3MosmjX99jefrRg","posOutgroup","pos",1,"rep",10,10,0,72,65
"858",858,"R_3Mta0rzTkMmMr2A","negOutgroup","neg",2,"rep",3,3,1,90,100
"859",859,"R_3MtByl1OFRMyPqz","posOutgroup","pos",3,"rep",5,5,0,62,73
"860",860,"R_3nbYJUcQOysMfgY","posOutgroup","pos",1,"rep",12,10,0,67,64
"861",861,"R_3njEb7Nya3srv0T","posOutgroup","pos",3,"rep",41,4,0,75,59
"862",862,"R_3nlAAYZKPKHV2x7","negIngroup","neg",2,"rep",5,5,0,72,74
"863",863,"R_3NxrYljMigp1Ps2","posOutgroup","pos",1,"rep",1,4,0,62,62
"864",864,"R_3OdDxyMnnNjXrbN","posIngroup","pos",3,"rep",3,1,1,65,54
"865",865,"R_3Ofw9tUmNh722j8","negIngroup","neg",3,"rep",4,4,0,86,63
"866",866,"R_3OiDnmaq1YXslTK","negIngroup","neg",1,"rep",9,6,1,60,65
"867",867,"R_3OkOMRTUfgiQx0A","negOutgroup","neg",3,"rep",3,3,1,85,65
"868",868,"R_3OrhJ9DOam9lIQ9","negOutgroup","neg",3,"rep",3,2,1,60,67
"869",869,"R_3PCetTQoDpWnvkp","negOutgroup","neg",3,"rep",7,6,0,75,58
"870",870,"R_3pciEEbQzb4J3dz","negOutgroup","neg",1,"rep",5,3,0,51,63
"871",871,"R_3PgxztwRLmCwFeW","negOutgroup","neg",2,"rep",12,7,1,16,27
"872",872,"R_3phzjhMdAaheFft","negIngroup","neg",2,"rep",12,9,1,21,95
"873",873,"R_3puwKasrVtvXMTP","negIngroup","neg",1,"rep",13,1,0,56,75
"874",874,"R_3Q5LZS1NTcncxW1","negIngroup","neg",1,"rep",6,6,1,97,100
"875",875,"R_3q8xKfUHChZE0nV","posIngroup","pos",1,"rep",5,0,1,40,70
"876",876,"R_3QFxeKbFmRjgCH0","posOutgroup","pos",1,"rep",2,0,0,51,39
"877",877,"R_3QPNpgrG5hoFH0C","negIngroup","neg",3,"rep",3,2,1,97,87
"878",878,"R_3qQkoIEeBFT9Zc6","posIngroup","pos",1,"rep",21,16,0,74,50
"879",879,"R_3qqys0UHBflBnmw","negOutgroup","neg",3,"rep",2,4,0,60,50
"880",880,"R_3qwIMPT5hkX2U5E","posOutgroup","pos",1,"rep",3,2,0,62,70
"881",881,"R_3QXCt2UbxNXZ0fs","posOutgroup","pos",3,"rep",0,1,0,80,45
"882",882,"R_3qxGkdZddNXjPB7","negOutgroup","neg",2,"rep",1,1,0,56,35
"883",883,"R_3QXI7H4PjIGcShI","negIngroup","neg",1,"rep",9,9,0,58,65
"884",884,"R_3r1gTmMSma18WGI","negOutgroup","neg",1,"rep",7,7,1,100,29
"885",885,"R_3R2VpTIb6STNw9v","posIngroup","pos",3,"rep",2,2,0,67,75
"886",886,"R_3Ra4KjS8vNLbt8Q","negOutgroup","neg",3,"rep",10,10,0,81,71
"887",887,"R_3Rl1SYCo1G7c8UN","negIngroup","neg",3,"rep",2,1,0,66,64
"888",888,"R_3rNw47Qv4VOn6FH","posOutgroup","pos",2,"rep",4,3,0,51,72
"889",889,"R_3RwmTu4YH7XOU6t","posOutgroup","pos",2,"rep",11,9,0,68,63
"890",890,"R_3RxZqBapRkIFRF3","posOutgroup","pos",3,"rep",2,1,0,85,55
"891",891,"R_40o4qtXfck9drwd","posOutgroup","pos",3,"rep",0,1,0,58,55
"892",892,"R_4NjrMyEU97yPfpL","posIngroup","pos",2,"rep",15,9,1,50,62
"893",893,"R_5jQ6xLSeXbnTjoJ","posIngroup","pos",1,"rep",2,1,0,75,69
"894",894,"R_6R8XIxsGpF37eRX","posIngroup","pos",1,"rep",7,6,1,74,58
"895",895,"R_6wYX9qkCaPxmx9L","negIngroup","neg",2,"rep",4,3,0,67,67
"896",896,"R_6zd5nwu1KTlCEHn","negOutgroup","neg",1,"rep",5,5,1,77,65
"897",897,"R_7X1EFV5WVfx0081","negOutgroup","neg",2,"rep",4,5,0,65,65
"898",898,"R_81ipluMOaprrMGZ","posOutgroup","pos",2,"rep",1,1,0,67,70
"899",899,"R_823AF2LXi51PAB3","negOutgroup","neg",2,"rep",3,3,0,78,76
"900",900,"R_86dbiBsqPNll0tj","negOutgroup","neg",1,"rep",3,3,1,64,78
"901",901,"R_8bLYxFH739bpEnD","negIngroup","neg",2,"rep",2,0,0,50,65
"902",902,"R_8jCuS2qkAavF0sN","negOutgroup","neg",2,"rep",4,5,0,55,54
"903",903,"R_8v41PpjZ1V0VkpH","negIngroup","neg",1,"rep",2,2,1,55,60
"904",904,"R_8vN4LtEZ9zR49Md","posIngroup","pos",1,"rep",6,5,0,70,61
"905",905,"R_9B7B1X1tOzM5y5H","negIngroup","neg",1,"rep",0,4,1,59,76
"906",906,"R_9Bl4jB0KcIJLCox","negIngroup","neg",1,"rep",10,11,0,66,68
"907",907,"R_9BNnJgife1xgcbn","negOutgroup","neg",2,"rep",3,3,0,68,65
"908",908,"R_9pDoY0bVciUDz9v","posIngroup","pos",3,"rep",1,1,0,68,61
"909",909,"R_9RBlx1Gc08vRT57","negOutgroup","neg",2,"rep",6,6,0,60,81
"910",910,"R_A1M7zfXwDcNvrzz","negOutgroup","neg",1,"rep",6,6,1,55,64
"911",911,"R_AFdMLOXxjYz6qSB","negIngroup","neg",1,"rep",4,6,1,66,60
"912",912,"R_AGqhPJWzGh7A2Wt","posOutgroup","pos",1,"rep",6,5,0,66,70
"913",913,"R_AgrIP3LkVbcV16h","posIngroup","pos",2,"rep",2,2,0,81,65
"914",914,"R_AgtCWnS2QicwOWd","negOutgroup","neg",3,"rep",10,10,0,75,61
"915",915,"R_ALm6sVyXNGkonND","negIngroup","neg",1,"rep",0,2,0,76,35
"916",916,"R_AmozzmiUAKTM68F","posIngroup","pos",1,"rep",5,11,0,70,66
"917",917,"R_An6LYtvrLaaVRrH","negOutgroup","neg",1,"rep",21,21,1,69,67
"918",918,"R_AunyPjIPEAViIMh","negOutgroup","neg",1,"rep",20,17,0,64,39
"919",919,"R_Avb2QTavkeZeZSV","posOutgroup","pos",1,"rep",1,1,0,58,75
"920",920,"R_BM3IslxUDXHeoyB","posOutgroup","pos",1,"rep",2,3,0,49,51
"921",921,"R_brx9nlhoBVzVpXH","posOutgroup","pos",1,"rep",3,2,0,71,64
"922",922,"R_C3VZbEXUZFcuQrn","posOutgroup","pos",3,"rep",3,3,0,72,60
"923",923,"R_C7AZYPmDuGvVcCl","negIngroup","neg",1,"rep",7,7,1,74,50
"924",924,"R_CaGeUKyAyOuLd29","posIngroup","pos",2,"rep",0,2,0,70,65
"925",925,"R_CkpIaYwqodO4inD","negOutgroup","neg",3,"rep",8,7,1,47,69
"926",926,"R_cNokyvqAK1RMWOJ","posOutgroup","pos",2,"rep",1,2,1,80,59
"928",928,"R_cUDBKiA2LrWtYOZ","negOutgroup","neg",3,"rep",3,3,0,76,62
"929",929,"R_cw2iSr5aZGB0FyN","posOutgroup","pos",2,"rep",16,17,0,80,61
"930",930,"R_daN5qIbD93aUxHP","negOutgroup","neg",3,"rep",5,5,0,74,64
"931",931,"R_dfZmSmrf8fJCsb7","posOutgroup","pos",3,"rep",3,3,0,82,48
"932",932,"R_DHwCSBtARADjwCl","posIngroup","pos",1,"rep",2,0,0,64,50
"933",933,"R_DMfnoVqyqLqg5vb","posIngroup","pos",3,"rep",1,5,0,75,66
"934",934,"R_Dorco2FQgJ7VAbv","posOutgroup","pos",3,"rep",1,1,0,76,67
"935",935,"R_DtO714SEEpvmBrz","posOutgroup","pos",1,"rep",12,0,0,50,61
"936",936,"R_DTP3eSlzxX26ALv","negIngroup","neg",2,"rep",5,5,1,69,65
"937",937,"R_DuUTWc9xIOYdwpX","posIngroup","pos",3,"rep",3,3,0,58,68
"938",938,"R_eXlW8jJs6VcRXcl","negIngroup","neg",3,"rep",6,7,1,55,65
"939",939,"R_NWLKclWwx7VKI93","posOutgroup","pos",2,"rep",7,7,0,72,63
"940",940,"R_O40syOHK7zNSRnX","posOutgroup","pos",3,"rep",1,1,1,73,54
"941",941,"R_OeBi2NW4mfyM00x","negOutgroup","neg",1,"rep",7,6,0,62,56
"942",942,"R_OsfHM88Tii3lMyt","negIngroup","neg",1,"rep",19,1,1,74,69
"944",944,"R_phoZzf4mcRHZ3d7","posIngroup","pos",2,"rep",2,2,1,98,98
"945",945,"R_puTvij7wnEw4tKF","posOutgroup","pos",3,"rep",2,1,0,76,72
"946",946,"R_PvSnTMGyhrhCeyJ","negIngroup","neg",3,"rep",3,2,0,76,56
"947",947,"R_PzyPJSqDyjWUdDX","negIngroup","neg",1,"rep",2,1,1,65,67
"948",948,"R_qCxFsZuAr3zgHaV","posOutgroup","pos",1,"rep",1,0,1,65,64
"949",949,"R_RetiwOtQxo6kBfH","posOutgroup","pos",2,"rep",3,3,0,69,64
"950",950,"R_Rkt5PcNblzZGbOV","posIngroup","pos",3,"rep",5,4,0,70,62
"951",951,"R_RxEQYgV5WJ944Hn","negOutgroup","neg",2,"rep",7,6,1,41,25
"952",952,"R_SCdCNWQ3JNSpI1X","posIngroup","pos",3,"rep",4,4,0,67,58
"953",953,"R_se5cQrR6GZaB0VX","posOutgroup","pos",3,"rep",8,8,0,75,44
"954",954,"R_sF12D1fBSzk3ANH","negOutgroup","neg",2,"rep",1,1,0,76,55
"955",955,"R_SNU4gy7TwrD36Ap","posIngroup","pos",3,"rep",0,7,0,55,55
"956",956,"R_tFAhCShE7G26kHT","negIngroup","neg",1,"rep",5,4,0,91,40
"957",957,"R_tGNUAz4G8E7MdWN","posIngroup","pos",3,"rep",0,2,0,68,85
"958",958,"R_Todyx8WyV6BuCZz","negIngroup","neg",2,"rep",5,3,1,57,70
"959",959,"R_TuTCCDQUsiNDJW9","posIngroup","pos",3,"rep",0,4,0,67,78
"960",960,"R_tY6KplV7g4oLgWd","posIngroup","pos",2,"rep",3,3,1,61,72
"961",961,"R_tYbjL7jSoVoH8hr","posIngroup","pos",1,"rep",5,5,0,76,76
"962",962,"R_UauCQY1mCinodWN","negOutgroup","neg",1,"rep",4,4,0,67,76
"963",963,"R_ue7HVDllR7iKjqV","posOutgroup","pos",2,"rep",4,4,0,60,55
"964",964,"R_uey49XDgA3e3CCJ","posOutgroup","pos",2,"rep",7,7,1,65,64
"965",965,"R_ufyDbaL2zi9vwQN","negOutgroup","neg",1,"rep",3,3,0,88,31
"966",966,"R_UJwIhzMzChQat8J","posOutgroup","pos",1,"rep",8,19,0,54,66
"967",967,"R_vdw6hOI79dcVjFf","posOutgroup","pos",2,"rep",4,2,0,64,70
"968",968,"R_vJ2FKmxNjrA63e1","posIngroup","pos",1,"rep",6,0,0,70,75
"969",969,"R_VPakCMvItzIqsJX","posOutgroup","pos",2,"rep",5,5,0,74,55
"970",970,"R_VU5MJro1UhR3zy1","posOutgroup","pos",2,"rep",2,1,0,53,65
"972",972,"R_W3bZmlrCUIO9oaZ","negOutgroup","neg",3,"rep",4,4,1,48,84
"973",973,"R_W7NwB63X2fbUfp7","posOutgroup","pos",3,"rep",1,1,0,67,50
"974",974,"R_WprJpihHOZCacYV","posOutgroup","pos",3,"rep",0,7,0,98,18
"975",975,"R_wTAl4aAAHcNws2B","posIngroup","pos",1,"rep",0,3,0,53,63
"976",976,"R_wUkb391jygLK3V7","negOutgroup","neg",1,"rep",2,2,1,63,65
"977",977,"R_x3YnPVDDKLqxs0V","negOutgroup","neg",1,"rep",2,2,0,58,69
"978",978,"R_xA89sNKnDTdcdup","posOutgroup","pos",2,"rep",3,0,0,70,61
"979",979,"R_xAfO7sxWCbobRlL","negOutgroup","neg",3,"rep",2,1,0,65,61
"980",980,"R_XAPby3KFnVysTFT","negOutgroup","neg",1,"rep",3,1,0,56,71
"981",981,"R_XBr9EaOFAtCUNO1","posIngroup","pos",1,"rep",0,3,0,80,70
"982",982,"R_xfiMV6efADgbR9n","negOutgroup","neg",2,"rep",3,2,1,47,64
"983",983,"R_xFMr26xnyk3oAbT","negOutgroup","neg",3,"rep",3,4,1,82,67
"984",984,"R_xi4dBWBECb7EhfH","posOutgroup","pos",1,"rep",2,1,0,65,77
"985",985,"R_Xqha1tdmFgZMmmB","posOutgroup","pos",2,"rep",5,6,0,80,71
"986",986,"R_xryB4gXuXxFbbP3","negOutgroup","neg",2,"rep",3,3,0,86,54
"987",987,"R_xxYW5Ouh7YXwu65","negOutgroup","neg",3,"rep",5,5,1,64,73
"988",988,"R_YaHQbp1rp88iPwB","negIngroup","neg",3,"rep",4,4,0,70,37
"989",989,"R_yBIjkVmLHhdWfsZ","negIngroup","neg",1,"rep",3,3,0,84,50
"990",990,"R_yQM0aV2Z3nb9lOF","posIngroup","pos",1,"rep",3,2,1,58,71
"991",991,"R_YRiHxRuBaQBTsbL","negIngroup","neg",3,"rep",4,4,1,61,63
"992",992,"R_YYYjxKUSAFI5Idj","posIngroup","pos",1,"rep",2,0,0,56,66
"993",993,"R_z7llE1fbooX9fhv","negIngroup","neg",2,"rep",10,4,0,77,75
"994",994,"R_ZF43c8XNSqwPZhD","posIngroup","pos",1,"rep",0,5,1,96,80
"995",995,"R_ZkODjMub8pQkg0x","negIngroup","neg",3,"rep",3,3,0,50,50
"996",996,"R_ZlcQNBDiShEz1U5","posIngroup","pos",1,"rep",1,2,0,65,68
"997",997,"R_Zt61LpceTEcsVfX","negIngroup","neg",3,"rep",5,0,0,65,68
