Participant,Pol.Affil,Att
R_24pes2LazEbjqpD,6,0
R_24uQlZ3SFuHQd9A,6,1
R_25LdX0Jc7If1U8O,5,0
R_25RXd3o3kbHDsbp,5,1
R_268ChAyndvMqX4K,7,1
R_26baUxAZ12JYXBz,5,0
R_26uch5BmI2Gm7LP,6,1
R_279hBtaxsnHJDjJ,6,1
R_27Ck4UCpHqGe7F1,6,3
R_27eWRePnNn9Yp29,6,1
R_27OSjmqo6pbldOV,6,1
R_27QgKeeKaNv2GyD,6,1
R_27x7GxG7nEU47MJ,6,1
R_28Ty9GUWJ43SmQQ,5,1
R_298jJEvDO4jRXXz,6,1
R_29bJ632FIZAmt7x,5,1
R_29tXz7V1xCa94Nu,6,1
R_2abFILyi1zWAyTK,7,0
R_2ag9DogY3nae0Cg,6,1
R_2AGQwC8tgmYiJJA,6,1
R_2AHx9Gy7g7dMgDc,7,2
R_2aIxBWXQbfeTuTX,5,1
R_2alAWX2HjySDQ8W,7,1
R_2aOD9RaLlB7Xa4x,7,0
R_2atv6rI0R5nTiPM,6,0
R_2ax06Xp83TC7Ruj,6,1
R_2axad2nhFDvtt9s,6,1
R_2axx9y2LqxmiSdW,6,0
R_2B5w8CJelfKGy6p,7,1
R_2BantlsAoxXaw3A,5,1
R_2bVtgQaHWPPVXST,6,0
R_2BzkYp4kKCm6D0a,5,0
R_2c5YTFDJBUy7bUd,6,0
R_2cbFMoGLjeBZ6Hr,5,1
R_2CcPZISpElVBvnP,7,0
R_2CDHeaR5YjHlR2G,5,0
R_2coW6KnWCn2cX7s,6,1
R_2D5mNYWiJSo07Qb,5,0
R_2D8hqvyQVWZ0h7y,7,0
R_2dEbNZDWn5bGfDW,5,1
R_2dhHtfnX0zS4iz0,6,0
R_2dlLwpSPGT48DF0,7,1
R_2DNUTNEZSFbiZMi,5,1
R_2dnWnbpgDoatFEs,6,1
R_2DOmAXEeNR3a5r0,6,1
R_2dSxI8XNdJ1XhwS,6,2
R_2DTQEdT0PAFXsn7,6,0
R_2dyEJQQ3qNUR3Rc,6,0
R_2e2lZPS2lwAzWir,7,1
R_2E3PXUr6CTzlSm0,7,0
R_2e4GGYjinZuJFNp,5,0
R_2e4sq7Pr6761TT8,6,0
R_2EAEbpFwBVImoOv,5,1
R_2Ehi09iD1IvB3EA,5,1
R_2eOpjdXJanzioIo,5,1
R_2eVGSzGvxULB3eX,6,2
R_2f40A12hXnGtIZc,7,0
R_2fBA8vkHJ66sD6T,5,0
R_2fHtTrso0nnjzo8,5,1
R_2fIrlS3eD7IlQfz,6,0
R_2fqdW3XDQLuDYDl,6,0
R_2fsbdaJuUBmql6V,6,0
R_2hlkcTFwjBsnjNf,7,1
R_2n6zYjw50t1AHol,7,1
R_2PBS5UHjaCpDEDC,5,0
R_2Pj4aJldPlUBswj,7,0
R_2pRnxA9lDl0YRzc,6,1
R_2q1nUglKFKiY9LT,5,0
R_2q8iWJkfVel3ISm,5,1
R_2q8V1TzmJ3Dcyzn,7,1
R_2qdwxLH5Hm4nyBc,7,1
R_2QEUE0qQomjtGgi,5,0
R_2QG0o7xkwGZeFle,6,2
R_2QiKTyAcDCI1PGf,5,0
R_2qqOrnOoK3pqZPy,5,2
R_2QsV9TVHZzoHkjw,7,1
R_2QWpjmsixfkHbsf,7,0
R_2QxDIHIzWC07T10,7,2
R_2QzmHjUWRARA8Kw,5,2
R_2RaCHZMFZrc90iQ,6,1
R_2rHGYTKZ7KBUNMh,7,1
R_2robSJCtMKRXXj5,7,0
R_2Sie5bna5YFblR4,5,1
R_2SJP4j8Up0nP0YY,7,1
R_2SlccY4amTQHaMs,5,3
R_2sTsYdOYQKxiTNV,7,0
R_2t0dWIkm4nlnU2Y,7,1
R_2t5pGRCcLSeNPxO,6,1
R_2tbbQ9mxbBTWecO,5,1
R_2tGqIHf3Zwb9cbA,6,0
R_2trOo4VpyshqXRb,5,1
R_2U4QmKpievlEBd2,7,1
R_2uD7sxlJHa5XDAJ,6,1
R_2uHEiKIA4S5jpp2,6,1
R_2UhHltQnjQB4zND,7,1
R_2uPrxbK15UynJbc,6,2
R_2uWF9gT2sjWGDLf,5,1
R_2uX9YZWuk00DbrI,6,0
R_2vcYEx5oZseAtqZ,5,0
R_2VO8eCmMxQT6Mnz,6,0
R_2Vyj5Ug9YcIA6cr,5,1
R_2w19g8ZxJqpEl2v,7,3
R_2wAhKqBnB0rubPc,7,1
R_2wBUI1xPtwvtt0w,5,0
R_2wM6NPatPj67foa,7,1
R_2woUfqmeYef0az6,5,3
R_2wt8dpi4eataaRP,7,0
R_2X0qc0XwH98mrlM,5,1
R_2X4FkwW5p7jeTqg,7,1
R_2XaeX5D79f42hCX,7,1
R_2y32Xr32D7W3GhK,6,0
R_2y3YoH482Pp0lW2,5,1
R_2y76Ore1RPJhbrU,6,0
R_2ya1ndRRF2ZXFKw,6,2
R_2YDJ3klpfYkFOqR,6,1
R_2yse6TNPVJIlvNc,6,1
R_2YtFNgCzcQn1nRx,6,0
R_2ziiMo9dN6ZA5R4,5,1
R_2zklKZ3uQXTGFfN,6,1
R_2zPiS8tIBxEtEZt,5,0
R_2ztG2mErOuF3ul5,6,2
R_2ZWHnmM90jTSXU0,6,1
R_302gMdGmUbKr8bE,7,0
R_30uxk8vEbntFB79,5,0
R_31Fci76x37JfLNH,5,1
R_31gFYngP3UIOI5v,6,0
R_31o0JBqUfCGjBgd,5,1
R_325B3AZzlIj3mPN,6,0
R_32K0ArUrtQ14fkN,7,0
R_33BG9W7M98oYcjS,6,1
R_3CDG7ymyFMezt2S,6,1
R_3CEhY1CzVr2uQCH,5,0
R_3CTmejwJXiT1NEt,5,1
R_3DBUoOrxz88dF5L,7,0
R_3DcjqbFnCJakg1Y,6,1
R_3DiquXsHk8PkvAw,7,1
R_3DjOwhw24j2Ak9F,5,1
R_3DqCO7hDegnvBnt,6,1
R_3dY2o28Wm7aIB8t,6,0
R_3dYUOtG0hNueT9N,5,0
R_3dZ0aZk8h3MAoqx,6,2
R_3e4SVmIYjzly19T,6,2
R_3eazpNepxmMRTIc,5,1
R_3egCwNDK2qrbQKq,6,1
R_3EiZ4THQAMF6k13,7,0
R_3envJBvQrp7Az35,6,0
R_3er9iWBnnoGvqWW,6,1
R_3Esys7ohR0SvTuJ,5,0
R_3etrdJF6LRTCXEC,7,0
R_3EXTD11z0zf2suA,6,1
R_3fxFjNGsCiHZp6c,6,1
R_3G3xFKo3K5ybPrw,6,0
R_3G6OMsNxV7YMs0L,7,0
R_3Gj3w9zY4TR6JBE,5,1
R_3gNkY6302hvSRBj,6,1
R_3gRukVI4ApgtX7J,6,2
R_3Gwi0AdT0I9tbKq,6,0
R_3GxNHNCx6CuXeoo,6,0
R_3HAEywWeekr7W84,6,0
R_3hF29QOoPJTnU9n,5,1
R_3hG8bdobk1IZmD3,5,1
R_3Hk6SgMWfGDY34a,5,1
R_3hmrtaNXCrjgHOz,7,0
R_3Hnt5I4l50nkanH,7,1
R_3HpQa1DVqHX2dQD,6,0
R_3HRolCuw39zQWv4,7,1
R_3hrvNS0ythWqocA,6,1
R_3HTSAxWax5Nc5Ja,5,0
R_3hu4drDEpZpEi6I,6,1
R_3hygSJ7lwqGDwsO,6,0
R_3Ia9gfHbmVx0SPO,7,1
R_3iDqJnh2szxRQNG,5,0
R_3iEHsOuwwe9Stjl,6,0
R_3iHVV2juqcB8U74,5,1
R_3iLjk2ufFvjKmL2,5,0
R_3iO3EaFbN6Dx6qJ,6,1
R_3j2qpyMXOfhUld7,5,1
R_3J8BTdUz1553o1Q,5,1
R_3JELd0algQzoYmM,6,0
R_3JeMVTJOBNCt0T7,6,1
R_3JmUIhmzGnFBHdv,7,1
R_3JzahueXwsjhqch,5,1
R_3KD7E0pVZuxSqgU,6,1
R_3kMlM6iUQ2jpRct,7,0
R_3kNGNxkzTcBdFSc,7,0
R_3kvakotKmTX5o3q,5,0
R_3LbETsZQW63zkmO,5,3
R_3ltfpRnoSEBp8hH,5,1
R_3LXZwMyfXBXG2ME,5,1
R_3m3Q2V29OcGWLcl,7,1
R_3m4rBRSaRDjGtjq,5,0
R_3m8KrVcU0HEz8C0,6,1
R_3m9qKSvY7yrlSln,5,1
R_3MbecC7pcyvMjOr,6,2
R_3mdxHPPtEbR27sV,6,0
R_3MKVPoZ6gcisKXC,7,1
R_3Mmm9Fnu8aQcAHB,5,1
R_3MnBFtVRbgUrdce,6,0
R_3MosmjX99jefrRg,6,1
R_3Mta0rzTkMmMr2A,6,1
R_3MtByl1OFRMyPqz,6,2
R_3nbYJUcQOysMfgY,5,0
R_3njEb7Nya3srv0T,7,0
R_3nlAAYZKPKHV2x7,7,1
R_3NxrYljMigp1Ps2,5,1
R_3OdDxyMnnNjXrbN,6,1
R_3Ofw9tUmNh722j8,6,2
R_3OiDnmaq1YXslTK,6,0
R_3OkOMRTUfgiQx0A,7,0
R_3OrhJ9DOam9lIQ9,6,1
R_3PCetTQoDpWnvkp,5,0
R_3pciEEbQzb4J3dz,5,1
R_3PgxztwRLmCwFeW,7,1
R_3phzjhMdAaheFft,7,1
R_3puwKasrVtvXMTP,5,0
R_3Q5LZS1NTcncxW1,7,1
R_3q8xKfUHChZE0nV,5,0
R_3QFxeKbFmRjgCH0,5,2
R_3QPNpgrG5hoFH0C,6,1
R_3qQkoIEeBFT9Zc6,6,1
R_3qqys0UHBflBnmw,6,1
R_3qwIMPT5hkX2U5E,7,0
R_3QXCt2UbxNXZ0fs,6,1
R_3qxGkdZddNXjPB7,6,1
R_3QXI7H4PjIGcShI,5,0
R_3r1gTmMSma18WGI,7,1
R_3R2VpTIb6STNw9v,5,1
R_3Ra4KjS8vNLbt8Q,6,1
R_3Rl1SYCo1G7c8UN,7,0
R_3rNw47Qv4VOn6FH,7,0
R_3RwmTu4YH7XOU6t,5,0
R_3RxZqBapRkIFRF3,5,0
R_40o4qtXfck9drwd,5,2
R_4NjrMyEU97yPfpL,7,0
R_5jQ6xLSeXbnTjoJ,7,1
R_6R8XIxsGpF37eRX,5,1
R_6wYX9qkCaPxmx9L,6,1
R_6zd5nwu1KTlCEHn,6,2
R_7X1EFV5WVfx0081,6,1
R_81ipluMOaprrMGZ,6,1
R_823AF2LXi51PAB3,5,0
R_86dbiBsqPNll0tj,7,0
R_8bLYxFH739bpEnD,6,1
R_8jCuS2qkAavF0sN,5,0
R_8v41PpjZ1V0VkpH,5,0
R_8vN4LtEZ9zR49Md,5,1
R_9B7B1X1tOzM5y5H,5,2
R_9Bl4jB0KcIJLCox,6,0
R_9BNnJgife1xgcbn,7,1
R_9pDoY0bVciUDz9v,6,0
R_9RBlx1Gc08vRT57,6,1
R_A1M7zfXwDcNvrzz,5,0
R_AFdMLOXxjYz6qSB,5,1
R_AGqhPJWzGh7A2Wt,5,0
R_AgrIP3LkVbcV16h,5,0
R_AgtCWnS2QicwOWd,7,1
R_ALm6sVyXNGkonND,6,2
R_AmozzmiUAKTM68F,6,0
R_An6LYtvrLaaVRrH,6,0
R_AunyPjIPEAViIMh,7,2
R_Avb2QTavkeZeZSV,5,1
R_BM3IslxUDXHeoyB,6,2
R_brx9nlhoBVzVpXH,5,1
R_C3VZbEXUZFcuQrn,6,1
R_C7AZYPmDuGvVcCl,7,0
R_CaGeUKyAyOuLd29,5,1
R_CkpIaYwqodO4inD,7,1
R_cNokyvqAK1RMWOJ,6,2
R_cSIJE3DB729c093,6,3
R_cUDBKiA2LrWtYOZ,5,0
R_cw2iSr5aZGB0FyN,7,1
R_daN5qIbD93aUxHP,5,0
R_dfZmSmrf8fJCsb7,6,1
R_DHwCSBtARADjwCl,7,0
R_DMfnoVqyqLqg5vb,5,0
R_Dorco2FQgJ7VAbv,5,1
R_DtO714SEEpvmBrz,7,0
R_DTP3eSlzxX26ALv,6,1
R_DuUTWc9xIOYdwpX,6,0
R_eXlW8jJs6VcRXcl,5,0
R_NWLKclWwx7VKI93,6,1
R_O40syOHK7zNSRnX,5,1
R_OeBi2NW4mfyM00x,6,1
R_OsfHM88Tii3lMyt,5,1
R_pH3MmCoezk5ftbH,5,3
R_phoZzf4mcRHZ3d7,6,1
R_puTvij7wnEw4tKF,5,0
R_PvSnTMGyhrhCeyJ,5,1
R_PzyPJSqDyjWUdDX,5,1
R_qCxFsZuAr3zgHaV,5,2
R_RetiwOtQxo6kBfH,6,0
R_Rkt5PcNblzZGbOV,5,1
R_RxEQYgV5WJ944Hn,7,2
R_SCdCNWQ3JNSpI1X,6,0
R_se5cQrR6GZaB0VX,7,0
R_sF12D1fBSzk3ANH,5,0
R_SNU4gy7TwrD36Ap,6,0
R_tFAhCShE7G26kHT,7,0
R_tGNUAz4G8E7MdWN,5,1
R_Todyx8WyV6BuCZz,5,0
R_TuTCCDQUsiNDJW9,6,1
R_tY6KplV7g4oLgWd,6,0
R_tYbjL7jSoVoH8hr,6,1
R_UauCQY1mCinodWN,6,1
R_ue7HVDllR7iKjqV,7,0
R_uey49XDgA3e3CCJ,6,1
R_ufyDbaL2zi9vwQN,7,2
R_UJwIhzMzChQat8J,6,1
R_vdw6hOI79dcVjFf,5,1
R_vJ2FKmxNjrA63e1,5,1
R_VPakCMvItzIqsJX,5,0
R_VU5MJro1UhR3zy1,6,0
R_W2PjquldxBqVWal,6,3
R_W3bZmlrCUIO9oaZ,6,1
R_W7NwB63X2fbUfp7,6,2
R_WprJpihHOZCacYV,5,2
R_wTAl4aAAHcNws2B,5,1
R_wUkb391jygLK3V7,5,1
R_x3YnPVDDKLqxs0V,6,1
R_xA89sNKnDTdcdup,6,1
R_xAfO7sxWCbobRlL,6,1
R_XAPby3KFnVysTFT,5,0
R_XBr9EaOFAtCUNO1,6,1
R_xfiMV6efADgbR9n,6,1
R_xFMr26xnyk3oAbT,5,2
R_xi4dBWBECb7EhfH,5,1
R_Xqha1tdmFgZMmmB,7,1
R_xryB4gXuXxFbbP3,7,1
R_xxYW5Ouh7YXwu65,5,1
R_YaHQbp1rp88iPwB,5,1
R_yBIjkVmLHhdWfsZ,5,1
R_yQM0aV2Z3nb9lOF,6,1
R_YRiHxRuBaQBTsbL,6,1
R_YYYjxKUSAFI5Idj,7,0
R_z7llE1fbooX9fhv,6,1
R_ZF43c8XNSqwPZhD,7,1
R_ZkODjMub8pQkg0x,6,1
R_ZlcQNBDiShEz1U5,6,1
R_Zt61LpceTEcsVfX,6,2
R_2WwkfqxsasPlUXu,4,
R_1JVEOMxRr0GSPqk,4,
R_1QfumP3hIfzztGJ,4,
R_246kaPce2GTcGCn,4,
R_3jTnZQ6ttG88NBQ,4,
R_2dQRMokzKHYeECk,4,
R_1H5D8EVe6SA0ujo,4,
R_24r70pS8zYaLKRI,4,
R_1IL9OswbsLJ9io3,4,
R_p3J413lfG81QI9j,4,
R_qUC0XxfreDLwoox,4,
R_TaY9aEYXtNKkWn7,4,
R_10pe4WkgkSTcA88,4,
R_2afszN2sPFf1ZCw,4,
R_1gnj6olWsS3oRCE,4,
R_31vgbLT26wNd8sX,4,
R_3qprtazz4ij6kiK,4,
R_1BOYZLzPmlC50SQ,4,
R_2YazeOUEfaeqNtr,4,
R_21v99WG2XZGgNvw,4,
R_Azo54lJehleIWGJ,4,
R_1Cx11GJ0BqPk7V3,4,
R_xn3zqPy0rHzt6HT,4,
R_cOx1RHqqenC3qRX,4,
R_3PhhX2Epddf91GO,4,
R_BJ2c7vadWWBg0fL,4,
R_3QQrDjukRmjdTCt,4,
R_6ziEo9OkXEeVGVj,4,
R_3ewNqOgFLWWeZDo,4,
R_bp7whEIIcqukP6x,4,
R_1BOQRpiKLIxPeTq,4,
R_3fZuIdccyK2bcX7,4,
R_PwA8YaQJlLE1weB,4,
R_24wJubzgoIkcuv2,4,
R_3CDGoVtNmEFtzaU,4,
R_2ZOBVIqQG1pPcIr,4,
R_27JSwou1eaxfrLd,4,
R_VU8EsGYDlrqYhB7,4,
R_0SWMuMJG0Ybx2St,4,
R_3D5fV20dJDQIoux,4,
R_CkJAzoFlVhIQRIB,4,
R_2tLpnw7MhhZBs37,4,
R_3EZvrkSFob7eG2N,4,
R_1GytkRl1Kj6hJGB,4,
R_2bZsKQJe0qI0Xag,4,
R_2R1SVZclI9ag2T6,4,
R_1q81aLnlbU3W9lU,4,
R_1riVkERV3eWJYdP,4,
R_1qVUcld91XdGx4F,4,
R_21bIwjEoKC4FoFZ,4,
R_25uoJjIy8PYXZRa,4,
R_3kADL4d0ZVeRKr4,4,
R_3G7fnGfaCaPfBPz,4,
R_BPTdaGXxhbB4XRf,4,
R_4YqWjtnRhwyiW4N,4,
R_1NmKpNtbE4PHiKN,4,
R_UxZiE5bmCtxilfb,4,
R_1kRdkrG8yy1tqqn,4,
R_STxOM65mOOfdAoV,4,
R_1BmS2gRXNIcH92p,4,
R_3q7PO9gn08aUaRU,4,
R_3L7n2Sk7M0iRXcJ,4,
R_2RPJgLdarVNO6qy,4,
R_3gYtfauWnt2Jnom,4,
R_2VqnJSS8UfS49ay,4,
R_3psUOZ0QwsBSWLY,4,
R_3gZPbZuQWCrbwOZ,4,
R_3PLZcNoN0ZFTped,4,
R_3pg55DDGTV6BQaD,4,
R_2VxqPefm1bEiyUG,4,
R_2az7yu8yl7UIurg,4,
R_2QMUH8ZJNdniIk1,4,
R_RK0CDH5N2lxVemJ,4,
R_1ezb9HNjzNGqr2R,4,
R_2cq4I2N39meUNsn,4,
R_cSA42qAaJ0TVsxb,4,
R_2sZvbpBR0ibnZfD,4,
R_2OYMOR6lVxmu7ez,4,
R_1jNtDjUEDpBhH4P,4,
