Participant,Pol.Affil,Att
R_27arBeHMdiLUTfy,2,1
R_27CNeOi03jodH06,1,1
R_27gpMlMpZS4hvYA,2,1
R_27P9HBBGOoBvxMC,2,0
R_27PbrtkHvrX9mNE,3,0
R_27QomhSeutFGOzQ,2,1
R_27TOdvzPVZbMZ7Z,1,0
R_27yg2BwuQXZfyxV,2,0
R_28AKTt3TFqsQbUp,3,1
R_28MNwxqbIrodiG2,2,1
R_28OKY2ZNqheEuyw,3,1
R_28XUJNwZkj6rGVl,1,0
R_2960ZQ89gKRzvNq,3,1
R_29cXqckoRUzFkuI,2,1
R_29udxU2rAdcfqF7,2,1
R_29v3wmwEqKSOfBe,1,0
R_2akxgwNo4xSer5j,3,0
R_2am2eYbwchqlU3j,3,0
R_2AXC2k3KGDZFNkV,3,1
R_2ay7OYcE9rcqhfy,1,1
R_2aypKnvzH4MkAGl,2,0
R_2B3eqB31a4FDeaG,1,1
R_2bTPZMZhJhpFFpk,3,1
R_2Cd1O4MpDYpF5qB,1,1
R_2CDGaBZ8Kddmcgz,3,1
R_2CDgP9AbZOsHN2I,1,1
R_2Cwig69B2rrjRdK,1,0
R_2cwSVvcaTuWYxwm,2,1
R_2dMEq0QmNyWkZZm,2,0
R_2dsR7aQoIT4v6Zu,2,0
R_2dSXBStUdDVo7U4,2,0
R_2DV1iqUDbL6mWfc,2,1
R_2E4eGOlNsnZcmYh,2,1
R_2E73T8CJzyOdUDg,2,1
R_2e9wRMw2JVlGwhG,1,0
R_2EAG1QyCmyHK9JZ,2,0
R_2EuZXHRagdq2uYO,3,0
R_2f3CYMvXZ1RoTtF,1,1
R_2fBbnumPbic8btl,2,1
R_2fDkmJsAgwlBOgV,1,1
R_2fj5lyQzcVzz2aS,2,0
R_2flYqDmxhjs98oN,2,0
R_2ipjwHQy5yXybYd,1,0
R_2mc2A1g4pG1vQyZ,2,1
R_2o5g8GzuHjIehXz,1,0
R_2OHAQPhKrdr2GfF,1,1
R_2PcAy3mmA8lMjam,2,1
R_2Phs0gnv0eMmJG9,3,0
R_2q2RRfOJp7BXHyb,2,0
R_2qDFNZTKTZsGnbo,2,1
R_2qej5jntGUmlCGO,1,1
R_2QEOBjvN7jF8hrZ,3,1
R_2qfax4Pnyd95k0P,3,1
R_2QuE3clJv2IlXLU,2,0
R_2QXv9x2BUtA2v0X,3,1
R_2R3atSdm2AvM7ts,2,1
R_2R4Ue0Jdv6uZoHP,1,0
R_2R535aDJ3U6U0fs,2,1
R_2ROLa62xk6kx3Ak,2,2
R_2rr1qo2W9Fs1wvU,1,0
R_2rr2IzH6OymGRTf,1,0
R_2RUKPKcLUj3vhzB,3,1
R_2rVj5IpJrWNEkj5,1,0
R_2RWi9dmKt7gKEuc,3,1
R_2s49llHWSeRSMWR,2,1
R_2S7GLqcUaqO1Adk,2,0
R_2sb6xCURqYEJtcu,1,0
R_2SDAEn6ji67NFij,1,0
R_2SJkf0wFkGGwHLr,2,1
R_2sXgp8JnCFgbwl4,2,0
R_2sZpMMa8NJwrOEk,3,0
R_2t2Rxf7EOleW53X,1,1
R_2t4J2onWN3OqbVW,3,0
R_2t5tOAWhoPcVi4k,1,1
R_2tmWFM9OomgOCKx,2,1
R_2TQP3DRDxgpySlK,1,0
R_2U6m5f5G5r3lo5Z,3,1
R_2UaXrROsInHHUSx,1,1
R_2UghoCJBoDzdtq2,2,1
R_2uPoBFPhQD8625t,2,1
R_2uQVP6W5MbIyii9,2,1
R_2usP9Nn8hYeHau3,1,0
R_2vbNUdl0EvtxHAF,1,0
R_2vcvueq44hxVcZ4,1,0
R_2VIo0tVzOqLO1IJ,1,0
R_2viUl7leInyyQdd,3,1
R_2VOUCiN41LeXsSC,2,1
R_2VpvEE1h0Ltnt7H,1,1
R_2VQuGBysvolx2U6,3,0
R_2Vsu17rEkH5GdWh,1,1
R_2VsWUza51KvUq32,1,0
R_2VvTCtxrxonnnZ4,3,0
R_2Vyjw6hc69jOyOQ,1,0
R_2vZd2BJZed3RMyt,3,0
R_2w5FTRu47LlAECS,2,0
R_2w6KCVmQm5nPBbj,1,0
R_2wAC9t8JkhFoCqe,2,1
R_2wi6kfSZg3rXYGL,2,1
R_2wpdYub4dfMKFt4,2,1
R_2WUc8QPDrkZTLih,1,1
R_2WwkkLJcP2dSAgz,1,0
R_2WZLk1NbILk2CsA,1,0
R_2xGn899CjelgOs4,2,1
R_2Xj1vHtvoaEtjTw,2,1
R_2xLBFXSXkrn3sYl,1,1
R_2xMjCT823zRD1Q6,1,1
R_2xRZauNNsxtIsq1,2,1
R_2Yb5dd10g6RssOE,1,1
R_2yqDVRD04qb3Pu0,3,1
R_2YXlCtvA5uN7oQk,2,0
R_2Yyr5nKYguSyjCi,3,0
R_2z5yof1olpbTSn3,2,1
R_2z8tIrNmlsnfCWx,2,1
R_2zCRr8DWZH0arSa,3,1
R_2zFLCk44qBijPy5,2,0
R_2ZIiAYTIFdqgSn9,1,1
R_2ZJEzCc5ugWbon9,3,1
R_2zpEVA9nEMEOYp7,1,1
R_2zqFQvNJx0ebjkh,2,1
R_2zVhprvuGFcAw2u,1,0
R_2zXZWlen4DpYR6L,1,1
R_2ZZW5GirbW9aWWw,1,1
R_3019TPCgtEQ0Sib,1,0
R_301rQB3BuFXyZ3t,3,0
R_306KYtWv5U67WQK,3,1
R_30dEjCb4dKRNDMX,2,1
R_30jcG4wGq5lHnGB,1,0
R_30kJwa3ChCR4P4h,3,0
R_31aud0fGURj5LfH,1,1
R_31EHJW1tQ6che3U,3,1
R_31hAzs9sbYTdx7E,2,1
R_31pfhTgYUtnpbFx,2,0
R_31QsozTPgB69jK4,3,0
R_337H3gST5wERVgp,2,0
R_33jdke7EK5YKunh,1,0
R_33vbKqn5lFuVWMb,3,1
R_33xPJuJn22LVOdz,1,0
R_3CC9lyyH3ieLlmH,2,0
R_3CDYSiEHd60YDPJ,3,0
R_3D7tdLBYejGfY1U,1,1
R_3DcgDdq0ToP2FFj,1,0
R_3Dhe8qQZAN4ZV3m,2,1
R_3dKBTVoc90UgH7x,1,0
R_3DoL8x0jvNRod6J,2,1
R_3Dq3dCE2hVnrMPv,1,0
R_3DwtlQbDCrFoHpG,2,0
R_3dYP16f2NrkcqtS,1,1
R_3e9Knv2hBDznC5B,2,1
R_3EEHHj6z1vo8eOp,1,1
R_3elCIYD9CvqbMIV,1,1
R_3EMEa8algBteyQB,1,1
R_3EMgDNmAU8wJqEw,1,1
R_3ENkaViscutdoy7,3,1
R_3Et0mNV3Lrj3ao9,1,1
R_3F2OnY37UTKM8gq,3,1
R_3fJgVXntW4Q5r5G,1,0
R_3fjh5TERtUW2qer,3,1
R_3fl3vz8x11pRNjY,3,1
R_3FPebdI7kxNDOCZ,3,3
R_3fPLD8GtVDYapA0,2,1
R_3fr8YEuKQao1zId,2,1
R_3FUNI5eSzsvjKRl,2,1
R_3FXa1ngzN0FhPHI,1,1
R_3FXLYX2QIrujjWk,2,0
R_3fZsYywQooUwx9h,3,0
R_3fZxCqvN8OLzbQS,1,0
R_3G3z7q6JK1mdecy,2,0
R_3GexBMOy5cN5g8F,1,0
R_3gN5UntmjDx8977,1,1
R_3h603L9zKybEX1P,3,2
R_3h6lUGMD1U1kndl,2,1
R_3hArvmo5QAyS92H,1,1
R_3hGVW1nKuWtBxz2,3,1
R_3HIAgd8tqxIidLW,1,0
R_3HMRupqVEiX63yy,2,0
R_3I5yt9Yd7j54D8Q,2,0
R_3I6qNyLqpbrDSo1,2,1
R_3I78FCUSxsbsMxj,1,1
R_3j6Gw1KX4FAJuTE,1,1
R_3j6QufcWr7S1E2V,1,1
R_3JCNY77nW80hbyO,2,1
R_3JwLbMwK8homHyL,1,1
R_3JzbFkzqcqCQdCG,3,1
R_3jZj95lsmbOHdTM,1,0
R_3kAqouVNui8Z9wM,2,1
R_3KJSK2aSEcTzh4v,1,1
R_3KMUQlUOlmbBchm,1,0
R_3KNOVYjvn14KcbT,1,1
R_3KO6zu8zvK6or7T,1,1
R_3KOpozJztvmskVo,2,1
R_3L6fNTgmfOuDZS7,1,1
R_3l920bDiVjHkvsJ,3,0
R_3LiPR4Lg1xz7Ddn,1,0
R_3lQRgaeMalqbIoE,1,0
R_3lVNNLGMWDjYduK,2,0
R_3LXTAT0ty1fkKmw,2,1
R_3M0vSBwKhOrHkae,1,1
R_3M40QYpATmW82hN,3,1
R_3MboN7ly7cWd4po,1,1
R_3mf7SnNyWkW03JR,2,1
R_3MFLsty61Oh7HsV,2,2
R_3MhXlGecvwta8MP,1,0
R_3MiftsdJ453XBZJ,2,1
R_3Msdkw4SuluCa5I,2,1
R_3MShjE4Z4DcisBK,1,1
R_3n2Zf3zHt2bfyiQ,3,1
R_3nC2joU7yx4tCBa,3,0
R_3nc2Q10VAbL9CtU,3,1
R_3nNamyx2ZpVxKBe,1,1
R_3NQwPPUk66OcV9k,3,1
R_3nTq6F9xNhPagRW,1,1
R_3O3synMLBqxugVp,1,0
R_3O9dVANPhBDfFcr,3,0
R_3Oe2rlRCrgIDnxt,3,1
R_3Ofyg3EIFz0xxET,2,0
R_3OiwqFyH2fcbKoz,1,1
R_3oLN4Ijsd0U974P,2,1
R_3oLSYBaJ9IO2yoM,1,1
R_3p5wqYJfpEVhaYd,2,0
R_3PKWKVKA17BPXYa,3,1
R_3plKe63bfMVdCAE,3,1
R_3PMg08yZ8FBhfMC,1,1
R_3PNYej7A7N8goxR,1,1
R_3PprqCuA88926Fg,3,1
R_3proevqoQN5JyxD,2,1
R_3pshtFpuceKmcpG,1,0
R_3psxMG5KfZvJS0u,3,2
R_3ptjHGyd0xfbyjx,2,1
R_3pyVLxMqz1NtKAF,1,1
R_3PZiIxj5pypWUPs,1,0
R_3qBEB3jZSPsR51N,2,0
R_3qBsXZonOa0NvQV,3,1
R_3qg7tvkQghIP0bu,2,0
R_3qII3DDtuxsh24H,1,0
R_3qJBHSNgo0HZ2Rx,2,1
R_3QlNfZwzOOQeZsl,3,1
R_3qTKYSmyMCGMl8a,3,0
R_3QWO8nPu2oVaHyE,3,1
R_3rGLXATHqTRfZJD,1,0
R_3RmCykuh6SeCLYn,2,0
R_3RsJs1t5AOwSi14,2,1
R_3rULRFNbNPwg9l8,1,1
R_3Rxcry2y8pWFCFG,1,0
R_3shv3iJhfY5m52W,2,0
R_3spmG4OneExPDlW,2,0
R_3W8teT7gcM4cm8V,1,1
R_40cRWDWRq05PRIJ,1,1
R_41GKTIP2qXCMB3j,1,0
R_4MBlsuD1gnpXwmR,2,0
R_5bgG21eINeUBR2V,3,1
R_5ncoMJK0AygYzRv,2,0
R_5tBNn08HSR3e0Kt,1,0
R_6JMcoT5ocHqBhND,3,1
R_6Mg4D3TFOvlFhZL,2,1
R_6nHImLD0D2A0xJT,3,1
R_6sBWFCZqunzkJPz,1,0
R_6WpZqkWR4anVncR,2,0
R_719LwTwdOM9s2I1,3,0
R_71mXhmilL4jpHax,2,0
R_82JmRXcRYBRzNTP,3,1
R_85OjAUKgRNWY7qp,3,0
R_9GNpTHs5nmZXozf,3,1
R_9pHpRzKObQh6uEp,3,1
R_9uV5SoewtQwQHU5,1,0
R_a3o7eLbTstWmrK1,1,0
R_A4EifGXO0Bri1sl,2,1
R_a5AmY1OWKnzLTtD,3,1
R_a9pvkhoxafH9vTb,2,0
R_AhxyQdDpMHxdfCF,2,1
R_ApU1W7vEyCSTFuh,2,0
R_bCOIXT1OPMkX053,2,1
R_bCq7AEqXgaks8aR,3,1
R_BJt29ApHpPqxmkV,2,0
R_bKF3j0O2sVTBHr3,3,0
R_blytpCy0KdD18B3,1,1
R_bQrFWeDRG9UNod3,2,1
R_BRQwxcCJXPCpAm5,1,1
R_C90FcuTcbqAT1m1,3,1
R_C9rVNWPjWesRjMt,1,1
R_CgFPBdn58UQ02LT,1,1
R_cH2XANMA3qOincd,1,0
R_cSEFibr5NGJ63df,2,1
R_cx0nQOj23wsqC8F,2,1
R_D1TJgtUBU54inHb,3,1
R_d54mRazKCgxpuh3,1,1
R_D5Bqb51vsVsPZER,1,1
R_D81WmlpZKRhIDvP,2,0
R_dmaJAIq7hrgjlpT,3,0
R_eb5A5c6IvvFa3Sx,1,0
R_eeZbBt3JgX0lqal,3,0
R_eJNAtbMYxtY6YKt,2,0
R_eqynR3wQE5Oavfj,1,1
R_eWktFKJwuaE7ySZ,3,0
R_O8pGsb5dUtTItoJ,1,0
R_OO0rvrEMbzVLA9H,2,1
R_OOrllyd6L3I7vNv,1,0
R_OPRrKDlSPRWlVXr,3,1
R_OrFPh3VC9QMs5mp,1,0
R_Os2qDbzXdUbkbTj,2,0
R_Oy9qlVtfcj9bZS1,3,0
R_oZCfEcSgNAc2nzr,3,1
R_p3hCOxxoyKb53gJ,2,1
R_pF3mVdpd440CJR7,2,0
R_PHbTJAldYhDLAyZ,3,1
R_PHvIPkohtVQ6HND,2,1
R_piSupwpkXJyREpr,2,1
R_pJAwOhX5YRDaAZb,3,1
R_plKYGAEG4LCHEDD,2,1
R_poaNEfRdqOjuocp,2,1
R_psGmGHi0tkdxvCF,1,0
R_qLreqjDA3h5qYGB,3,0
R_Qoc2tpfncNg2lnH,2,1
R_qQ46Tv1SyqEtyoN,1,1
R_R35kzAkW255DHUJ,2,0
R_r3yJhftgkcJx9gl,1,0
R_r6Jx2ERTEtFh7i1,1,1
R_RDC2GaDLtrG4Iwh,2,1
R_rjUtQOZJFfeHKOB,1,0
R_RkIN4DJ9j3UjDoJ,2,0
R_RmDOf2aNukbF45P,3,0
R_RQYMUe0unDCUnHr,2,1
R_RzaGXF3fwIbETS1,1,0
R_SAZlbgOXUQ2YyU9,2,0
R_SCqpWBVxjGGIVKp,1,1
R_SDZcQqx2PdJm2Bz,1,0
R_SIFoos8sTv0C5HP,1,0
R_SIrT9WnzejsJLI5,1,1
R_T6Ort1JX8WJhAyd,3,1
R_TcqHjMizZxlfqXT,2,1
R_tGJbm0EdT4iZOHT,1,0
R_tWB0O0OKTMQyzVn,1,2
R_u3UUyaYgzZ7Wohz,1,0
R_u4XxlhPt8TYgvgB,2,1
R_ueHzLuUPlYJC0XT,2,1
R_UhjbypJnu5kaveN,3,0
R_uq6P9XVgaS7wm7D,1,0
R_UQoaBgCGUikWiEV,2,1
R_UshPqUQtwXMXGed,1,1
R_utcP3sWjyGkdP45,2,1
R_UubbynDhKDPIUiR,2,1
R_UWQe3hP4lZxXo0F,2,2
R_uzaNlEfsxS2xFWp,2,0
R_VQhlqh8wrOcRhap,2,0
R_vwpJqvy6i2fi1fr,1,2
R_W3AIhUmPDbOM2EF,1,1
R_w6Ryo6Dt30w7exz,1,1
R_Wc9ZJhE5sOqHMgV,2,1
R_WcG316tiQ07Ra5X,2,1
R_wNQD1gljVWmF8jf,1,1
R_wUmUueBbXKN2IOl,1,1
R_WxtRBA04Mtq9Bxn,1,2
R_wZ60R5QyzSiPrCV,1,3
R_XAhlCaEnCulwaDT,3,1
R_XFBdS9Ih0P0G1LH,2,0
R_xg8bLLy9NUo4V1v,1,0
R_XiymaXyAEVonvWN,2,0
R_yIpIuOvFjUgMDBf,1,2
R_yIsGjhByYblLsTD,1,0
R_YPji2AGZT2mHZyF,3,1
R_ypZV7xE1yY8X2pz,2,1
R_yz1y521yPNxOLex,1,2
R_Z1AFprYqVL4iP6h,2,1
R_z2aYyOsG4RGCEAV,3,0
R_Z3OEQYeZF6ljWQF,1,1
R_Z4R1t2E7060hX9f,2,0
R_ZJmAo2WSgeBf6xP,1,1
R_Zk7xolOze1bZFcJ,2,0
R_ZKQOPuAgOuRpKCJ,3,1
R_ZsIMO8M6iZWdHzz,3,1
R_ZyNSns5U6FDjqw1,1,0
R_02Hhh7veZ8JOIpz,6,0
R_0eTPLeY7hm5Uq1H,6,1
R_0P3rbQpYijrTLLH,7,1
R_10AhQy4Sd75ADly,6,1
R_10DIGYpocGhyOD7,5,1
R_10TorYyE4PQaOHe,7,3
R_10uODdzalMZJLag,5,0
R_110IymGlQfgUcxs,6,1
R_111NvQ58KZiWINi,6,1
R_1179q3OHTkP8Hsv,7,0
R_11dyswiTUm78Y5F,6,1
R_11iP7BYbWHtMRBq,6,1
R_11j7x4zkGRGJayu,5,1
R_12AxGywo8Nkxq09,6,1
R_12kXxDONvB0nqfM,5,1
R_12nUv9I3Vc4JKBa,5,1
R_12tcW9rW3HC15L5,6,1
R_12tEHS9JiUcF6u4,6,1
R_12u61kZXLspweet,6,1
R_1C1qkvbL1LgABEu,6,0
R_1Ca67UTMBWtv6uE,5,2
R_1CCmnU7W58pXrJH,5,0
R_1cUpoO2ztgoXvVl,5,1
R_1CwrOMmrLnAKy0Z,6,0
R_1cXLcXzPI6TYsVo,6,2
R_1dAcgodPr5Prk7V,6,1
R_1daCvI52RT8ftuM,6,1
R_1dEV5QI5z260d5a,6,1
R_1DFRGoGdTZfrksZ,6,0
R_1Dpcvkn9wmpygRv,7,1
R_1dyI4PJnLJH5Sw7,6,0
R_1E5Q3OJ9HfPE87x,6,1
R_1eE3iX1DZJNKnoh,6,0
R_1eLCvW4YMUEgy9O,5,1
R_1eUBHczKTYSvxCh,6,2
R_1EWgUxJfBGnKtLD,5,1
R_1EWOaXaExxJNX20,7,1
R_1EY6NRImhbsrH9W,6,2
R_1F3rvvpuh2EGrLw,7,0
R_1F3uNBgecnABOKv,5,0
R_1FEbD1rLT9qf3tz,6,1
R_1FJkvfRVT0Wticb,6,1
R_1FONZupLYLk0DcW,6,0
R_1FzczM2CF7N8hBM,6,0
R_1g8zEFVzalhs2Vz,6,2
R_1gABQPxFgGjcU0C,7,1
R_1gdrLmYniYoVtLF,6,0
R_1gMTGMXvKLgsMOe,6,1
R_1GNMWw0U4Jk7uHn,6,0
R_1gOr0zcbGowwaWQ,6,1
R_1GQhGuhhVHHzCDV,7,1
R_1GTFDTrRpwv1YGw,7,2
R_1gzQNUdxHAoCEud,7,1
R_1H2lQ4sr0HAteQk,5,1
R_1Hdz2A7pIFYYzS0,7,1
R_1hHaBdtiAuBQAG2,5,0
R_1hR0WbjQ3o9OTCR,7,1
R_1i2HdCLFoOUW595,6,0
R_1i9xTGapWVWg8dL,7,0
R_1IaWlXRBsLwsLGb,6,0
R_1iepw7VdgypgYXV,6,2
R_1IFQns8zSuTDIzt,5,1
R_1IGCrDgguzvm5QL,5,1
R_1isqoih8wjrHGVj,5,1
R_1ItRcENyhR77FyV,5,0
R_1IuF7aweo0fbMpf,6,1
R_1IyEqTLRHMQsOKa,7,1
R_1j94clu6YA4d7yE,5,0
R_1jcRoegJDqRND4W,6,1
R_1jdqHy0YYjypKhq,6,1
R_1jGQjQbGRDGMyF3,6,2
R_1juY7mcLI5JYF2d,5,2
R_1jwyvRgnGg4BFre,6,1
R_1K0BbshWThA47fk,6,0
R_1kFhZYxjRVBV6jz,6,1
R_1kGQuJUioWO1IyJ,7,1
R_1kHPYLSo5Byp7j5,5,0
R_1KqJEQHH8HXSyjy,6,1
R_1KxKc5Ei4vcYpKe,5,0
R_1l9RaIQqXppTOxi,5,2
R_1LdKWY6MScIlxcC,6,1
R_1LnyGNJoabUpleP,5,1
R_1LoGQHZtg4qLKBe,5,0
R_1LpLmyrriAnNUp2,6,1
R_1lrt0cH3MREzERi,6,1
R_1lv48xwzljsdH0B,5,1
R_1mCNTIUAYOpDKIK,6,1
R_1MRjU7OFPfQiulg,6,1
R_1mWQ75yMUDqItn6,6,1
R_1Ngm7YFhejL3n7Z,7,1
R_1nUSrKjKmlqPU6M,7,1
R_1o0DRSTMdfJAHJK,5,1
R_1o6D0CDBW7SMflX,5,1
R_1ODdyMIzFeLAgZz,6,1
R_1oistqebJBu8Mm0,7,0
R_1OOBfMuIgzUBBEM,6,0
R_1opxAdzMGByp9wi,5,1
R_1OUiGgGFweMZYaw,5,2
R_1OZfYfNhUsGkqrb,5,0
R_1P5f4QW1ikffgRs,5,1
R_1PdAfHGyTfzUxyD,5,1
R_1pGoiDSr3Qbl1sP,7,1
R_1pmJ68HmDbYC8B3,7,2
R_1pMSOQCEqVnwKQ6,5,0
R_1puoUNpikHVf1pD,7,0
R_1pYSXlfLRiGo5HY,6,1
R_1q2oFx5twNu9wmR,5,1
R_1q2S4ICtR9kx8EU,5,1
R_1Q9FZDGRqsn8gKi,6,0
R_1Qg9wa0Yd7FysjU,6,1
R_1QKmF35HWkT8LM1,5,1
R_1QLOAS89i9hqA8Y,5,2
R_1QLp36ddFSkdee5,6,1
R_1Qu9IUazdE0573b,6,1
R_1QuWKVWke298Soj,6,1
R_1r0tYqlpR6g3hV3,5,1
R_1r1U4zkojdEF2A6,7,1
R_1r6e1vOuuyOcnP9,5,0
R_1rBMmw1AIR3SXsa,5,0
R_1rBWCuVfXTT1sRV,6,1
R_1rcAJPOPjdF0Pbp,7,0
R_1rMOJxrP92hVHng,6,1
R_20MYePiertBvSwm,7,1
R_20SPJFMi4N3xOEd,6,1
R_21sxYGFW9FoTqIX,5,0
R_21uMXouDp9FPJpY,5,1
R_21vqxUTzrxj2zUN,5,1
R_22DlI6HuYwdr9B8,6,1
R_22FE6qzqfHNV3Dd,7,0
R_22KCRcaTPqw7FW5,6,1
R_22L0Damem0Lyd95,7,1
R_22MvMiH0kift1S4,6,1
R_22WIlGzBEM8N9jq,6,2
R_23ag3hx5Y5k5T3o,5,0
R_23W7tNtDHRAxdHM,6,0
R_24FPnpEFSAO9KAN,7,1
R_24ki4rMy1kj2KGg,6,1
R_24pCJkeVYMxiUnI,6,1
