"","X","Participant","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","threat1","threat2","Q1350","Q.B_P.status_1","Q.B_P.status_2","imp","Val","Condition","HH","EX","Att","NFC","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"457",457,"R_pJAwOhX5YRDaAZb",6,"1000","20","2",34,0,3,6,3,4,4,2,63,32,"negOutgroup","neg",1,4.3,3.8,1,3.41176470588235,0,"dem",11,11,0,56,67
"458",458,"R_plKYGAEG4LCHEDD",6,"8,000","2,000","2,000",29,0,2,5,2,3,3,4,57,70,"posOutgroup","pos",3,3.7,4.8,1,3.52941176470588,0,"dem",11,6,5,50,65
"459",459,"R_poaNEfRdqOjuocp",6,"28","30","40",27,0,4,6,2,5,6,6,61,57,"posIngroup","pos",3,4.5,4.3,1,2.41176470588235,0,"dem",14,7,7,53,42
"460",460,"R_psGmGHi0tkdxvCF",5,"40000","I have no way to tell","10000 maybe",65,0,4,1,1,3,3,5,50,50,"negIngroup","neg",3,5.2,6.1,0,3.94117647058824,0,"dem",6,3,3,62,62
"461",461,"R_qLreqjDA3h5qYGB",6,"500","75","150",48,1,5,7,3,2,5,2,70,20,"negIngroup","neg",2,5.3,5,0,4.70588235294118,0,"dem",12,6,6,68,63
"462",462,"R_Qoc2tpfncNg2lnH",6,"500","180","320",31,1,4,2,2,2,4,5,55,50,"posOutgroup","pos",1,4.6,2.7,1,3.82352941176471,1,"dem",13,6,7,69,68
"463",463,"R_qQ46Tv1SyqEtyoN",7,"10000","200","1000",61,0,4,7,1,1,1,7,60,71,"posIngroup","pos",2,5,4.8,1,4.23529411764706,0,"dem",2,1,1,58,62
"464",464,"R_R35kzAkW255DHUJ",5,"15000","500","1000",61,1,1,4,2,3,3,4,55,45,"negIngroup","neg",1,5.6,3.4,0,3.64705882352941,0,"dem",6,3,3,70,75
"465",465,"R_r3yJhftgkcJx9gl",6,"2000","25","500",31,0,3,2,1,1,1,6,50,72,"posOutgroup","pos",1,3.4,4,0,3.88235294117647,0,"dem",18,9,9,63,57
"466",466,"R_r6Jx2ERTEtFh7i1",6,"5000","1500","1500",23,0,2,7,1,1,1,4,60,50,"posIngroup","pos",3,3.4,2.7,1,3.41176470588235,0,"dem",8,4,4,60,50
"467",467,"R_RDC2GaDLtrG4Iwh",6,NA,NA,NA,34,1,4,0,2,4,4,6,42,66,"negOutgroup","neg",2,5,4.3,1,3.35294117647059,1,"dem",7,4,3,65,33
"468",468,"R_rjUtQOZJFfeHKOB",4,"60000","2000","4000",39,0,5,2,1,2,4,2,51,51,"negIngroup","neg",1,4.3,4.1,0,4.47058823529412,0,"dem",8,4,4,52,64
"469",469,"R_RkIN4DJ9j3UjDoJ",6,"450","50","50",23,0,4,2,2,5,4,4,51,51,"negIngroup","neg",3,4.4,4.1,0,4,0,"dem",8,4,4,59,55
"470",470,"R_RmDOf2aNukbF45P",5,"2500","50","2000",36,0,7,7,3,4,4,7,62,86,"negOutgroup","neg",2,4.9,4.5,0,3.52941176470588,0,"dem",21,12,9,59,65
"471",471,"R_RQYMUe0unDCUnHr",6,"2000","500","100",37,1,4,5,2,2,3,2,65,54,"negOutgroup","neg",3,4.3,4.6,1,2.88235294117647,0,"dem",13,6,7,50,61
"472",472,"R_RzaGXF3fwIbETS1",5,"2000","100","200",28,1,3,1,1,1,1,4,50,50,"negIngroup","neg",1,4.1,3.6,0,3.76470588235294,0,"dem",10,5,5,60,65
"473",473,"R_SAZlbgOXUQ2YyU9",6,"3500","10","2000",51,0,4,7,2,2,2,5,60,10,"negIngroup","neg",1,5.7,1.3,0,3.58823529411765,0,"dem",17,10,7,60,65
"474",474,"R_SCqpWBVxjGGIVKp",7,"964","10","100",57,0,2,2,1,1,2,7,60,30,"posIngroup","pos",3,4.7,5.4,1,4.17647058823529,0,"dem",5,1,4,78,68
"475",475,"R_SDZcQqx2PdJm2Bz",5,"3000","5","70",34,1,2,3,1,3,4,5,50,50,"negOutgroup","neg",2,3.7,3.5,0,3.94117647058824,1,"dem",2,1,1,67,76
"476",476,"R_SIFoos8sTv0C5HP",7,"5000","100","2500",53,0,4,0,1,1,4,7,20,80,"posIngroup","pos",1,4.6,1.4,0,2.29411764705882,1,"dem",7,7,0,55,65
"477",477,"R_SIrT9WnzejsJLI5",6,"50","5","5",40,1,4,7,1,2,1,5,70,20,"posOutgroup","pos",3,4,3.6,1,3.70588235294118,0,"dem",4,4,0,69,54
"478",478,"R_T6Ort1JX8WJhAyd",7,"1375","35","50",66,1,5,7,3,3,5,6,67,70,"negOutgroup","neg",2,4.1,5.2,1,NA,0,"dem",22,11,11,67,64
"479",479,"R_TcqHjMizZxlfqXT",5,"700","5","20",30,0,4,2,2,4,4,5,62,55,"posOutgroup","pos",2,3.9,4.9,1,3.52941176470588,1,"dem",10,5,5,72,62
"480",480,"R_tGJbm0EdT4iZOHT",6,"23800","1000","2000",61,0,4,2,1,4,2,4,60,40,"posOutgroup","pos",2,5.3,4.2,0,4.11764705882353,0,"dem",7,4,3,78,63
"481",481,"R_tWB0O0OKTMQyzVn",5,"6000","200","50",34,1,1,4,1,3,1,5,87,10,"posIngroup","pos",2,4,4.1,2,NA,1,"dem",2,0,2,72,53
"482",482,"R_u3UUyaYgzZ7Wohz",6,"10000","500","6000",25,0,4,3,1,3,4,4,50,50,"negIngroup","neg",2,3.9,2.9,0,3.11764705882353,1,"dem",4,1,3,60,65
"483",483,"R_u4XxlhPt8TYgvgB",6,"2700","37","63",51,1,2,4,2,2,3,6,56,79,"posOutgroup","pos",1,4.2,3.8,1,3.94117647058824,0,"dem",3,2,1,88,55
"484",484,"R_ueHzLuUPlYJC0XT",6,"500","200","100",36,1,6,5,2,4,4,4,90,23,"posOutgroup","pos",1,4.5,3.9,1,2.52941176470588,1,"dem",18,9,9,92,9
"485",485,"R_UhjbypJnu5kaveN",6,"3000","800","900",33,0,6,7,3,2,3,2,50,50,"posOutgroup","pos",3,5.3,3.7,0,3.76470588235294,1,"dem",8,4,4,63,60
"486",486,"R_uq6P9XVgaS7wm7D",7,"2000","150","400",37,0,4,7,1,4,4,6,68,67,"negIngroup","neg",1,5.1,5.5,0,2.70588235294118,0,"dem",2,1,1,59,72
"487",487,"R_UQoaBgCGUikWiEV",6,"4000","200","700",60,0,4,6,2,2,3,6,76,40,"posOutgroup","pos",1,4.3,5.2,1,3.64705882352941,0,"dem",10,5,5,82,61
"488",488,"R_UshPqUQtwXMXGed",7,"900","300","400",25,0,4,4,1,1,1,5,91,86,"negIngroup","neg",1,4.3,6.6,1,3.11764705882353,1,"dem",8,5,3,72,60
"489",489,"R_utcP3sWjyGkdP45",6,"500","100","300",45,1,2,0,2,2,1,6,45,55,"posOutgroup","pos",3,4,4.4,1,4.17647058823529,0,"dem",18,9,9,72,65
"490",490,"R_UubbynDhKDPIUiR",7,"3,700","200","700",25,1,4,7,2,4,5,5,60,85,"posOutgroup","pos",1,2.8,2.2,1,1.82352941176471,1,"dem",2,1,1,70,60
"491",491,"R_UWQe3hP4lZxXo0F",7,"300","10","20",29,1,3,5,2,2,1,5,75,91,"posOutgroup","pos",2,NA,4.8,2,2.82352941176471,0,"dem",13,6,7,76,31
"492",492,"R_uzaNlEfsxS2xFWp",5,"148000","2000","2000",47,0,3,2,2,3,3,6,90,59,"negIngroup","neg",2,5.4,4.7,0,2,0,"dem",5,3,2,68,64
"493",493,"R_VQhlqh8wrOcRhap",6,"49000","500","500",47,0,4,7,2,2,2,4,55,55,"negOutgroup","neg",2,4.6,4.8,0,3.94117647058824,0,"dem",10,5,5,64,63
"494",494,"R_vwpJqvy6i2fi1fr",6,"3000","10","300",24,0,4,6,1,2,2,5,70,30,"posOutgroup","pos",1,4.3,4.9,2,4,0,"dem",16,8,8,57,44
"495",495,"R_W3AIhUmPDbOM2EF",6,"5700","1000","2500",65,1,3,4,1,1,2,4,50,50,"posIngroup","pos",1,4.6,3.3,1,3.23529411764706,0,"dem",18,9,9,65,72
"496",496,"R_w6Ryo6Dt30w7exz",7,"2000","20","5",28,0,5,7,1,1,1,6,100,5,"negIngroup","neg",2,3.1,3.4,1,3.88235294117647,0,"dem",6,4,2,55,64
"497",497,"R_Wc9ZJhE5sOqHMgV",6,"2000","300","1000",37,1,6,6,2,1,1,2,50,50,"negOutgroup","neg",3,3.6,6,1,4.29411764705882,0,"dem",1,0,1,66,66
"498",498,"R_WcG316tiQ07Ra5X",6,"3000","50","200",25,1,2,1,2,1,2,6,68,62,"posIngroup","pos",1,3.3,3.5,1,3.41176470588235,1,"dem",9,5,4,63,74
"499",499,"R_wNQD1gljVWmF8jf",7,"1005","15","750",51,1,1,6,1,1,1,5,50,70,"posOutgroup","pos",3,6.1,2.1,1,4.52941176470588,0,"dem",9,5,4,76,40
"500",500,"R_wUmUueBbXKN2IOl",7,"500","20","50",30,1,4,7,1,2,2,5,80,85,"negOutgroup","neg",3,5.1,5.5,1,3.94117647058824,0,"dem",6,3,3,75,60
"501",501,"R_WxtRBA04Mtq9Bxn",2,"50000","20000","20000",25,0,4,5,1,4,6,6,83,39,"negOutgroup","neg",1,4.2,3.7,2,3.23529411764706,0,"dem",4,2,2,44,70
"503",503,"R_XAhlCaEnCulwaDT",6,"400","10","30",31,1,1,3,3,4,4,2,65,60,"negOutgroup","neg",3,4.3,2.2,1,3.58823529411765,0,"dem",6,3,3,65,60
"504",504,"R_XFBdS9Ih0P0G1LH",6,"2500","100","1000",36,0,5,7,2,4,4,6,50,50,"posOutgroup","pos",2,3.4,4.9,0,4,0,"dem",10,5,5,65,65
"505",505,"R_xg8bLLy9NUo4V1v",7,"700","100","25",24,0,2,5,1,4,5,7,80,30,"negIngroup","neg",2,4.6,6.1,0,4.64705882352941,0,"dem",5,2,3,70,64
"506",506,"R_XiymaXyAEVonvWN",5,"1000","100","200",47,0,3,7,2,4,4,5,54,56,"posOutgroup","pos",3,3.9,3.7,0,2.88235294117647,0,"dem",10,5,5,69,61
"507",507,"R_yIpIuOvFjUgMDBf",7,"1000","20","20",24,0,3,1,1,7,4,2,23,100,"posIngroup","pos",1,4.4,4.3,2,3.05882352941176,1,"dem",8,4,4,60,50
"508",508,"R_yIsGjhByYblLsTD",5,"2000","25","1000",36,0,4,5,1,3,4,4,55,48,"negIngroup","neg",3,3.7,1.7,0,2.29411764705882,0,"dem",12,6,6,56,62
"509",509,"R_YPji2AGZT2mHZyF",6,"1,878","100","400",23,0,4,3,3,4,4,3,67,22,"negOutgroup","neg",3,2.9,4.2,1,3.05882352941176,0,"dem",6,3,3,54,70
"510",510,"R_ypZV7xE1yY8X2pz",6,"15","2","3",51,0,3,1,2,1,1,6,95,75,"posIngroup","pos",3,3.2,5.5,1,3.76470588235294,1,"dem",10,5,5,59,71
"511",511,"R_yz1y521yPNxOLex",4,"100","30","70",31,0,4,2,1,1,4,3,89,76,"negIngroup","neg",3,4.7,NA,2,2.82352941176471,1,"dem",11,6,5,75,65
"512",512,"R_Z1AFprYqVL4iP6h",7,"1100","4","3",32,0,2,3,2,6,5,6,63,74,"posOutgroup","pos",2,4.3,4.4,1,2.82352941176471,0,"dem",14,7,7,75,65
"513",513,"R_z2aYyOsG4RGCEAV",6,"775","200","500",37,1,0,1,3,2,3,4,65,77,"posOutgroup","pos",1,5.5,2.4,0,4.52941176470588,0,"dem",12,7,5,55,72
"514",514,"R_Z3OEQYeZF6ljWQF",7,"25","3","5",42,1,4,2,1,2,1,7,41,41,"negIngroup","neg",3,4.9,2.9,1,4,0,"dem",8,5,3,76,71
"515",515,"R_Z4R1t2E7060hX9f",7,"550","75","0",24,0,2,6,2,7,7,7,100,50,"negOutgroup","neg",3,4.8,6.4,0,4.41176470588235,0,"dem",7,3,4,64,73
"516",516,"R_ZJmAo2WSgeBf6xP",6,"200","5","155",30,0,2,7,1,1,1,7,100,0,"negOutgroup","neg",1,5.1,4.2,1,4.58823529411765,0,"dem",10,5,5,70,74
"517",517,"R_Zk7xolOze1bZFcJ",6,"3500","200","500",38,0,0,3,2,3,2,1,30,88,"posIngroup","pos",1,5.2,2.6,0,3.88235294117647,0,"dem",4,0,4,70,75
"518",518,"R_ZKQOPuAgOuRpKCJ",6,"500","100","250",42,0,4,7,3,4,4,4,45,70,"posOutgroup","pos",3,5.6,5,1,4,1,"dem",30,18,12,69,67
"519",519,"R_ZsIMO8M6iZWdHzz",1,"620","200","200",31,1,4,4,3,2,4,3,46,48,"negIngroup","neg",3,4.5,4.5,1,3.70588235294118,1,"dem",6,3,3,85,65
"520",520,"R_ZyNSns5U6FDjqw1",7,"964","100","300",57,0,2,2,1,1,2,6,75,60,"negOutgroup","neg",1,NA,5.2,0,4.11764705882353,0,"dem",22,11,11,78,69
"521",521,"R_02Hhh7veZ8JOIpz",7,"1900","60","70",54,1,4,7,6,2,2,6,50,50,"negIngroup","neg",1,5.3,4.7,0,3.70588235294118,0,"rep",2,1,1,67,67
"522",522,"R_0eTPLeY7hm5Uq1H",5,"3250","155","650",67,0,3,6,6,1,1,6,30,55,"posIngroup","pos",1,4.4,5.6,1,3.58823529411765,0,"rep",18,9,9,67,63
"523",523,"R_0P3rbQpYijrTLLH",5,"300","15","50",32,1,3,2,7,1,2,5,15,40,"posOutgroup","pos",2,2.8,4.8,1,3.29411764705882,0,"rep",17,9,8,60,60
"524",524,"R_10AhQy4Sd75ADly",5,"250","45","10",34,1,4,4,6,4,3,5,18,81,"negIngroup","neg",3,4.4,4.5,1,2.52941176470588,0,"rep",20,10,10,60,50
"525",525,"R_10DIGYpocGhyOD7",3,"750","0","0",55,1,1,7,5,5,5,5,59,61,"negIngroup","neg",2,3.8,4.3,1,3.05882352941176,0,"rep",7,0,7,49,63
"527",527,"R_10uODdzalMZJLag",5,"20","5","10",30,0,4,4,5,1,1,5,0,60,"posOutgroup","pos",3,3.5,2.6,0,3.94117647058824,1,"rep",10,6,4,29,49
"528",528,"R_110IymGlQfgUcxs",5,"2500","400","600",28,1,4,3,6,6,5,6,45,70,"posOutgroup","pos",2,4.3,4.5,1,2.64705882352941,0,"rep",4,3,1,69,52
"529",529,"R_111NvQ58KZiWINi",6,"2500","100","100",28,0,2,3,6,4,4,4,84,95,"posOutgroup","pos",1,3.2,3.9,1,3.29411764705882,0,"rep",2,2,0,64,70
"530",530,"R_1179q3OHTkP8Hsv",2,"2000","5","50",29,0,2,2,7,1,1,6,30,80,"negIngroup","neg",1,5.4,3.8,0,4.76470588235294,0,"rep",4,2,2,50,75
"531",531,"R_11dyswiTUm78Y5F",6,"13000","35","100",34,0,4,7,6,2,2,4,65,70,"negIngroup","neg",2,4.6,4.9,1,3.58823529411765,0,"rep",3,2,1,58,66
"532",532,"R_11iP7BYbWHtMRBq",5,"230","15","12",25,0,6,7,6,5,6,6,85,89,"posOutgroup","pos",1,4.3,3.9,1,2.76470588235294,0,"rep",17,8,9,89,77
"533",533,"R_11j7x4zkGRGJayu",6,"10000","50","100",38,0,4,7,5,4,3,6,51,51,"negIngroup","neg",3,4.2,4.6,1,2.76470588235294,1,"rep",10,4,6,60,64
"534",534,"R_12AxGywo8Nkxq09",7,"150","25","25",27,1,4,4,6,6,6,6,60,73,"negOutgroup","neg",1,4.1,4.6,1,2.76470588235294,0,"rep",2,2,0,61,60
"535",535,"R_12kXxDONvB0nqfM",5,"5,000","1,000","1,000",36,0,4,7,5,4,4,5,35,86,"posOutgroup","pos",1,3.6,6.1,1,3.70588235294118,0,"rep",14,7,7,61,72
"536",536,"R_12nUv9I3Vc4JKBa",7,"150","60","60",40,0,7,7,5,5,3,5,68,34,"negOutgroup","neg",2,4.3,3.9,1,4.05882352941176,0,"rep",4,3,1,77,72
"537",537,"R_12tcW9rW3HC15L5",7,"3000","100","200",32,1,5,7,6,2,2,7,81,94,"posIngroup","pos",2,4.8,5.8,1,3.64705882352941,0,"rep",11,6,5,88,77
"538",538,"R_12tEHS9JiUcF6u4",6,"1281","20","20",47,0,5,3,6,3,3,5,83,79,"posOutgroup","pos",2,NA,4.8,1,3.17647058823529,0,"rep",22,14,8,57,54
"539",539,"R_12u61kZXLspweet",6,"50","30","20",27,0,5,7,6,6,6,5,79,76,"posOutgroup","pos",1,NA,4.1,1,2.41176470588235,0,"rep",18,12,6,69,68
"540",540,"R_1C1qkvbL1LgABEu",6,"15","3","12",19,1,2,7,6,4,4,3,50,50,"negIngroup","neg",1,4,3.1,0,4.05882352941176,0,"rep",2,2,0,55,65
"541",541,"R_1Ca67UTMBWtv6uE",6,"30","20","10",28,0,4,6,5,6,5,6,73,69,"posOutgroup","pos",3,3.8,4.2,2,2.58823529411765,0,"rep",2,1,1,66,0
"542",542,"R_1CCmnU7W58pXrJH",7,"550","11","20",46,0,2,0,5,1,1,7,100,80,"posOutgroup","pos",2,3.9,4.2,0,3.11764705882353,1,"rep",17,8,9,84,58
"543",543,"R_1cUpoO2ztgoXvVl",6,"24","3","11",26,1,2,7,5,7,5,5,27,76,"negIngroup","neg",2,3.2,3.5,1,2.82352941176471,0,"rep",36,17,19,60,72
"544",544,"R_1CwrOMmrLnAKy0Z",5,"200","100","100",49,1,3,2,6,1,1,7,28,73,"negIngroup","neg",3,5.2,5.7,0,3.94117647058824,1,"rep",6,3,3,79,61
"545",545,"R_1cXLcXzPI6TYsVo",4,"60","10","10",25,1,4,7,6,4,5,4,57,64,"negOutgroup","neg",2,3.8,4.2,2,3.05882352941176,1,"rep",2,1,1,29,30
"546",546,"R_1dAcgodPr5Prk7V",6,"500","70","100",20,0,2,0,6,4,4,6,51,88,"negIngroup","neg",2,3.3,5.4,1,3.82352941176471,1,"rep",12,6,6,74,68
"547",547,"R_1daCvI52RT8ftuM",7,"5500","500","500",38,1,4,7,6,5,1,5,30,70,"posOutgroup","pos",3,5,5.5,1,2.11764705882353,0,"rep",12,6,6,68,63
"548",548,"R_1dEV5QI5z260d5a",6,"4,852","10","150",63,1,3,2,6,2,2,6,20,80,"posOutgroup","pos",1,4,3.8,1,3.23529411764706,0,"rep",5,2,3,60,65
"549",549,"R_1DFRGoGdTZfrksZ",4,"20","1","2",66,1,5,7,6,1,1,6,91,91,"posIngroup","pos",2,4.9,5.5,0,4.29411764705882,0,"rep",12,7,5,60,61
"550",550,"R_1Dpcvkn9wmpygRv",4,"50","5","2",25,1,4,7,7,4,4,5,66,62,"negOutgroup","neg",1,4.1,4.1,1,3.11764705882353,1,"rep",28,15,13,33,42
"551",551,"R_1dyI4PJnLJH5Sw7",7,"332","not sure","not sure",27,1,4,1,6,7,7,5,81,70,"posOutgroup","pos",3,2.5,4.9,0,2.64705882352941,0,"rep",3,1,2,92,70
"552",552,"R_1E5Q3OJ9HfPE87x",4,"639","30","20",34,1,2,3,6,1,4,6,61,86,"negOutgroup","neg",3,3.9,4.3,1,3.29411764705882,0,"rep",16,8,8,78,68
"553",553,"R_1eE3iX1DZJNKnoh",6,"500","50","100",50,0,1,7,6,4,4,5,60,70,"negIngroup","neg",3,4.8,3.7,0,1.76470588235294,0,"rep",4,2,2,79,63
"554",554,"R_1eLCvW4YMUEgy9O",5,"2000","200","200",35,1,1,5,5,5,3,5,85,68,"negOutgroup","neg",1,3.5,4.1,1,2.82352941176471,0,"rep",6,3,3,70,61
"555",555,"R_1eUBHczKTYSvxCh",6,"3","3","3",55,0,4,7,6,6,6,6,100,19,"negIngroup","neg",3,4.2,5.4,2,3.29411764705882,0,"rep",11,5,6,24,100
"556",556,"R_1EWgUxJfBGnKtLD",6,"48","12","8",27,1,4,7,5,6,7,6,95,75,"negIngroup","neg",2,4.4,4.1,1,2.52941176470588,0,"rep",15,7,8,72,93
"557",557,"R_1EWOaXaExxJNX20",3,"200","10","2",55,1,3,4,7,1,1,6,66,67,"posOutgroup","pos",1,3.2,3.5,1,2.23529411764706,0,"rep",9,5,4,65,56
"558",558,"R_1EY6NRImhbsrH9W",5,"50","10","20",20,0,4,4,6,5,6,6,69,66,"posOutgroup","pos",2,4.5,4.6,2,2.17647058823529,0,"rep",10,5,5,65,71
"559",559,"R_1F3rvvpuh2EGrLw",6,"3000","2500","500",28,0,2,4,7,1,1,7,68,26,"negOutgroup","neg",2,4.2,3.3,0,1.70588235294118,1,"rep",2,2,0,55,60
"560",560,"R_1F3uNBgecnABOKv",7,"11500","100","5000",30,0,4,7,5,5,6,4,51,71,"posOutgroup","pos",1,4.5,3.3,0,3.52941176470588,1,"rep",14,8,6,65,71
"561",561,"R_1FEbD1rLT9qf3tz",6,"1000","20","500",21,0,4,3,6,4,3,4,44,67,"posOutgroup","pos",2,3.3,NA,1,2.35294117647059,0,"rep",9,4,5,65,54
"562",562,"R_1FJkvfRVT0Wticb",6,"25","6","5",28,0,4,7,6,5,6,6,77,76,"posIngroup","pos",3,4.4,4.1,1,2.64705882352941,0,"rep",6,0,6,84,68
"563",563,"R_1FONZupLYLk0DcW",6,"12000","30","5000",43,0,4,7,6,4,2,2,30,71,"negOutgroup","neg",3,4.4,4.6,0,4.52941176470588,0,"rep",11,7,4,76,65
"564",564,"R_1FzczM2CF7N8hBM",5,"1,000","20","900",28,0,4,1,6,4,4,4,50,50,"posOutgroup","pos",3,4.4,6,0,3.70588235294118,1,"rep",4,2,2,69,64
"565",565,"R_1g8zEFVzalhs2Vz",6,"500","200","100",36,1,5,5,6,1,1,7,19,82,"posIngroup","pos",3,3.6,4.4,2,3.52941176470588,0,"rep",3,2,1,55,49
"566",566,"R_1gABQPxFgGjcU0C",7,"7","0","1",66,0,2,6,7,1,1,7,19,92,"negOutgroup","neg",1,4.5,6.5,1,4.76470588235294,0,"rep",6,3,3,62,71
"567",567,"R_1gdrLmYniYoVtLF",5,"1900","400","700",34,0,7,7,6,4,1,6,40,66,"posOutgroup","pos",2,5.2,5.5,0,4.11764705882353,0,"rep",10,6,4,68,62
"568",568,"R_1gMTGMXvKLgsMOe",6,"100","20","20",36,1,4,7,6,3,3,5,45,60,"posOutgroup","pos",3,4.9,4.7,1,3.76470588235294,0,"rep",2,1,1,72,60
"569",569,"R_1GNMWw0U4Jk7uHn",6,"600","50","100",54,1,4,2,6,3,3,5,80,51,"negIngroup","neg",3,5.3,2.5,0,4.05882352941176,0,"rep",6,3,3,70,70
"570",570,"R_1gOr0zcbGowwaWQ",7,"5100","40","12",59,1,4,1,6,1,1,7,41,61,"posIngroup","pos",1,2.6,4.1,1,3.88235294117647,0,"rep",10,5,5,45,69
"571",571,"R_1GQhGuhhVHHzCDV",6,"200","30","50",24,1,1,2,7,7,7,7,70,80,"negOutgroup","neg",3,4.2,3.3,1,3.41176470588235,1,"rep",7,3,4,60,55
"572",572,"R_1GTFDTrRpwv1YGw",7,"85","50","65",27,0,4,7,7,6,7,7,86,100,"negIngroup","neg",2,4.8,4.1,2,3.05882352941176,0,"rep",18,9,9,85,75
"573",573,"R_1gzQNUdxHAoCEud",7,"20000","500","10000",72,0,1,2,7,2,3,5,70,90,"negIngroup","neg",1,5,4.2,1,1.88235294117647,0,"rep",5,5,0,70,30
"574",574,"R_1H2lQ4sr0HAteQk",5,"46","10","5",31,0,1,5,5,4,4,2,71,73,"negOutgroup","neg",1,4.8,4.8,1,2.76470588235294,0,"rep",23,8,15,75,58
"575",575,"R_1Hdz2A7pIFYYzS0",3,"522","40","60",29,1,4,4,7,6,5,6,58,78,"posIngroup","pos",3,3.9,3.8,1,2.82352941176471,0,"rep",2,2,0,67,66
"576",576,"R_1hHaBdtiAuBQAG2",7,"2338","30","1500",39,0,4,7,5,1,1,7,50,50,"posOutgroup","pos",3,4.6,4.6,0,4.05882352941176,0,"rep",36,8,28,67,68
"577",577,"R_1hR0WbjQ3o9OTCR",6,"180","5","20",31,0,1,2,7,2,2,7,55,85,"posOutgroup","pos",1,4.8,4.3,1,3.64705882352941,0,"rep",3,0,3,88,68
"578",578,"R_1i2HdCLFoOUW595",5,"43500","3800","2500",65,0,4,2,6,3,3,5,31,65,"posOutgroup","pos",3,4.7,3.5,0,2.17647058823529,0,"rep",3,3,0,80,72
"579",579,"R_1i9xTGapWVWg8dL",7,"1000","10","900",58,0,4,4,7,1,1,7,44,60,"posOutgroup","pos",2,5,4.3,0,3.41176470588235,0,"rep",14,6,8,76,46
"580",580,"R_1IaWlXRBsLwsLGb",7,"3000","not sure","not sure",56,0,2,5,6,1,1,6,51,51,"negOutgroup","neg",3,3.6,4.2,0,3.23529411764706,0,"rep",12,6,6,65,59
"581",581,"R_1iepw7VdgypgYXV",7,"20","10","10",27,0,4,5,6,5,6,6,65,92,"negIngroup","neg",3,4.2,4.1,2,2.70588235294118,0,"rep",6,3,3,81,66
"582",582,"R_1IFQns8zSuTDIzt",5,"100","10","30",36,0,3,6,5,4,4,4,51,56,"posOutgroup","pos",1,4.3,3.5,1,2.94117647058824,0,"rep",8,4,4,74,66
"583",583,"R_1IGCrDgguzvm5QL",7,"900","15","40",24,1,3,7,5,5,5,5,80,70,"negIngroup","neg",1,4.2,5.2,1,3.11764705882353,0,"rep",11,8,3,70,70
"584",584,"R_1isqoih8wjrHGVj",6,"6500","1000","5500",43,0,4,5,5,4,3,2,66,77,"negOutgroup","neg",3,4.5,3.2,1,2.35294117647059,1,"rep",15,7,8,75,65
"585",585,"R_1ItRcENyhR77FyV",5,"100","50","50",41,0,1,2,5,4,4,5,80,74,"negIngroup","neg",3,4.9,2.1,0,NA,0,"rep",19,11,8,62,67
"586",586,"R_1IuF7aweo0fbMpf",5,"670","50","300",60,0,4,7,6,3,3,6,30,71,"posOutgroup","pos",1,3.8,5.2,1,3.88235294117647,0,"rep",4,2,2,64,71
"587",587,"R_1IyEqTLRHMQsOKa",6,"2000","300","500",28,1,4,3,7,6,7,6,52,70,"negIngroup","neg",2,4.2,NA,1,2.35294117647059,0,"rep",1,1,0,67,49
"588",588,"R_1j94clu6YA4d7yE",6,"1200","30","100",39,1,3,3,5,4,4,4,56,72,"posIngroup","pos",2,4.7,5.1,0,4.41176470588235,0,"rep",8,8,0,55,65
"589",589,"R_1jcRoegJDqRND4W",6,"1000","30","20",40,0,5,7,6,1,2,4,60,69,"posIngroup","pos",1,4.7,3.6,1,3.70588235294118,0,"rep",3,2,1,55,60
"590",590,"R_1jdqHy0YYjypKhq",5,"10000","500","1500",33,1,1,2,6,2,2,2,50,50,"negOutgroup","neg",1,3.5,3.8,1,3.23529411764706,0,"rep",8,5,3,76,66
"591",591,"R_1jGQjQbGRDGMyF3",4,"20","10","10",25,1,4,7,6,6,4,5,71,61,"posIngroup","pos",3,3.9,3.8,2,2.58823529411765,0,"rep",10,5,5,52,27
"592",592,"R_1juY7mcLI5JYF2d",5,"200","5","50",21,0,2,7,5,5,4,5,67,30,"negIngroup","neg",2,4,3.9,2,2.58823529411765,0,"rep",6,3,3,52,62
"593",593,"R_1jwyvRgnGg4BFre",6,"50","30","20",27,NA,5,7,6,6,5,6,71,80,"negIngroup","neg",3,4.3,NA,1,2.47058823529412,0,"rep",10,6,4,46,34
"594",594,"R_1K0BbshWThA47fk",5,"I have no idea","I have no idea","I have no idea",45,1,2,3,6,2,3,5,41,67,"negOutgroup","neg",3,4.5,3,0,2.94117647058824,1,"rep",2,1,1,68,56
"595",595,"R_1kFhZYxjRVBV6jz",6,"28000","20","200",45,1,2,4,6,1,1,6,0,100,"posOutgroup","pos",3,6.1,5.2,1,4.52941176470588,0,"rep",9,5,4,71,53
"596",596,"R_1kGQuJUioWO1IyJ",1,"600","50","200",34,1,5,7,7,1,1,7,50,50,"negIngroup","neg",2,5.7,4,1,4,0,"rep",4,2,2,55,63
"597",597,"R_1kHPYLSo5Byp7j5",6,"1500","100","500",53,0,1,5,5,4,4,4,51,52,"posIngroup","pos",1,5.3,5.1,0,2.05882352941176,0,"rep",4,2,2,57,70
