"","X","Participant","honesty_Q","totMturkStudies","totEconStudies","totPsychStudies","age","gender","education","income","Pol.Affil","threat1","threat2","Q1350","Q.B_P.status_1","Q.B_P.status_2","imp","Val","Condition","HH","EX","Att","NFC","ethnicity","group","n_trials","in_samples","out_samples","In.Est","Out.Est"
"360",360,"R_3NQwPPUk66OcV9k",6,"6400","3500","1500",29,1,5,4,3,5,4,5,30,70,"negOutgroup","neg",3,3.8,3.8,1,2.29411764705882,0,"dem",14,7,7,80,75
"361",361,"R_3nTq6F9xNhPagRW",7,"10000","200","50",54,0,3,7,1,7,7,5,70,100,"posOutgroup","pos",1,5,6.5,1,2.11764705882353,0,"dem",6,6,0,66,60
"362",362,"R_3O3synMLBqxugVp",6,"15000","1000","5000",31,0,5,3,1,2,2,6,74,70,"posIngroup","pos",3,4.5,3.7,0,3.29411764705882,0,"dem",12,6,6,75,52
"363",363,"R_3O9dVANPhBDfFcr",7,"10000","50","150",64,0,3,2,3,1,2,6,87,38,"posOutgroup","pos",3,5.2,3.7,0,1.64705882352941,0,"dem",36,18,18,65,63
"364",364,"R_3Oe2rlRCrgIDnxt",5,"300","10","20",27,0,2,0,3,4,2,4,41,91,"posIngroup","pos",2,3.1,1.3,1,3,0,"dem",12,6,6,69,62
"365",365,"R_3Ofyg3EIFz0xxET",5,"1300","100","300",40,0,6,7,2,1,2,3,54,50,"posIngroup","pos",3,4.2,3.7,0,2.94117647058824,0,"dem",14,7,7,72,64
"366",366,"R_3OiwqFyH2fcbKoz",6,"5000","100","2000",55,0,2,3,1,2,1,5,60,35,"negOutgroup","neg",2,5.2,3.5,1,4,0,"dem",10,5,5,67,62
"367",367,"R_3oLN4Ijsd0U974P",5,"3800","1000","2000",43,0,3,7,2,2,3,5,56,57,"negOutgroup","neg",2,2.5,4.1,1,3.52941176470588,0,"dem",9,4,5,62,55
"368",368,"R_3oLSYBaJ9IO2yoM",5,"390","7","25",55,1,5,4,1,2,2,6,70,22,"posOutgroup","pos",1,4.3,3.4,1,4.05882352941176,0,"dem",12,6,6,54,61
"369",369,"R_3p5wqYJfpEVhaYd",6,"1200","50","100",24,0,2,4,2,4,4,2,50,50,"posIngroup","pos",2,5.5,4.8,0,3.76470588235294,0,"dem",12,6,6,70,55
"370",370,"R_3PKWKVKA17BPXYa",6,"6300","1500","2000",29,1,5,4,3,5,4,6,40,75,"posIngroup","pos",2,4.6,NA,1,2.88235294117647,0,"dem",27,15,12,85,70
"371",371,"R_3plKe63bfMVdCAE",6,"2120","40","300",22,0,2,2,3,3,5,4,51,35,"negOutgroup","neg",1,3.9,1.4,1,3.82352941176471,0,"dem",10,5,5,62,65
"372",372,"R_3PMg08yZ8FBhfMC",5,"1500","500","1000",24,1,2,4,1,3,3,2,67,28,"posOutgroup","pos",2,4.5,2.6,1,4.23529411764706,0,"dem",14,7,7,66,63
"373",373,"R_3PNYej7A7N8goxR",6,"590","200","400",37,0,2,3,1,1,3,3,70,66,"posOutgroup","pos",2,3.9,3.3,1,3.64705882352941,0,"dem",8,4,4,61,40
"374",374,"R_3PprqCuA88926Fg",4,"100000","5000","12000",28,1,4,5,3,2,5,5,75,30,"posIngroup","pos",1,4.4,4.1,1,2.76470588235294,0,"dem",15,8,7,51,66
