Participant,Duration (in seconds),ExternalReference,Q.first_1,Q3604,Q.first_2,Q6723,Q.first_3,Q1950,Q.first_4,Q6727,Q.first_5,Q3606,Q.first_6,Q6731,Q.first_7,Q3607,Q.first_8,Q6735,Q.first_9,Q3608,Q.first_10,Q6739,Q.first_11,Q3609,Q.first_12,Q6743,Q3430_27,Q3576_26,Q2280,Q2282,Q2284,Q2290,Q2300,Q3566,Q3568,Q3568_6_TEXT,Q3570,Q1263,Q.1.1,Q3455,Q.1.2,Q3459,Q.1.3,Q3463,Q.1.4,Q3467,Q.1.5,Q3471,Q.1.6,Q3474,Q3475,Q.1.7,Q3479,Q.1.8,Q3483,Q.1.9,Q3487,Q.1.10,Q3491,Q.1.11,Q3495,Q.1.12,Q3499,Q.1.13,Q3503,Q.1.14,Q3507,Q.1.15,Q3511,Q.1.16,Q3515,Q.1.17,Q3519,Q.1.18,Q3523,Q.1.19,Q3527,Q.1.20,Q3531,Q.1.21,Q3535,Q.1.22,Q3539,Q.1.23,Q3543,Q.1.24,Q3547,Q.1.25,Q3551,Q.1.26,Q3555,Q.1.27,Q3559,Q.1.28,Q3563,Q.1.29,Q3567,Q.1.30,Q3571,Q.1.31,Q3575,Q.1.32,Q3579,Q.1.33,Q3583,Q.1.34,Q3587,Q.1.35,Q3591,Q.1.36,Q3595,Q.1.37,Q3599,Q.1.38,Q3603,Q.1.39,Q3607,Q.1.40,Q3611,Q.1.41,Q3615,Q.1.42,Q3619,Q.1.43,Q3623,Q.1.44,Q3627,Q.1.45,Q3631,Q.1.46,Q3635,Q.1.47,Q3639,Q.1.48,Q3643,Q.1.49,Q3647,Q.1.50,Q3651,Q.2.1,Q5379,Q.2.2,Q5383,Q.2.3,Q5387,Q.2.4,Q5391,Q.2.5,Q5395,Q.2.6,Q5398,Q5399,Q.2.7,Q5403,Q.2.8,Q5407,Q.2.9,Q5411,Q.2.10,Q5415,Q.2.11,Q5419,Q.2.12,Q5423,Q.2.13,Q5427,Q.2.14,Q5431,Q.2.15,Q5435,Q.2.16,Q5439,Q.2.17,Q5443,Q.2.18,Q5447,Q.2.19,Q5451,Q.2.20,Q5455,Q.2.21,Q5459,Q.2.22,Q5463,Q.2.23,Q5467,Q.2.24,Q5471,Q.2.25,Q5475,Q.2.26,Q5479,Q.2.27,Q5483,Q.2.28,Q5487,Q.2.29,Q5491,Q.2.30,Q5495,Q.2.31,Q5499,Q.2.32,Q5503,Q.2.33,Q5507,Q.2.34,Q5511,Q.2.35,Q5515,Q.2.36,Q5519,Q.2.37,Q5523,Q.2.38,Q5527,Q.2.39,Q5531,Q.2.40,Q5535,Q.2.41,Q5539,Q.2.42,Q5543,Q.2.43,Q5547,Q.2.44,Q5551,Q.2.45,Q5555,Q.2.46,Q5559,Q.2.47,Q5563,Q.2.48,Q5567,Q.2.49,Q5571,Q.2.50,Q5575,Q.3.1,Q2682,Q.3.2,Q2686,Q.3.3,Q2690,Q.3.4,Q2694,Q.3.5,Q2698,Q.3.6,Q2702,Q.3.7,Q3051,Q.3.8,Q2709,Q.3.9,Q2713,Q.3.10,Q2717,Q.3.11,Q2721,Q.3.12,Q2725,Q.3.13,Q2729,Q.3.14,Q2733,Q.3.15,Q2737,Q.3.16,Q2741,Q.3.17,Q2745,Q.3.18,Q2749,Q.3.19,Q2753,Q.3.20,Q2757,Q.3.21,Q2761,Q.3.22,Q2765,Q.3.23,Q2768,Q.3.24,Q2772,Q.3.25,Q2776,Q.3.26,Q2780,Q.3.27,Q2784,Q.3.28,Q2788,Q.3.29,Q2792,Q.3.30,Q2794,Q2796,Q.3.31,Q2800,Q.3.32,Q2804,Q.3.33,Q2808,Q.3.34,Q2812,Q.3.35,Q2816,Q.3.36,Q2820,Q.3.37,Q2824,Q.3.38,Q2828,Q.3.39,Q2832,Q.3.40,Q2836,Q.3.41,Q2840,Q.3.42,Q2844,Q.3.43,Q2848,Q.3.44,Q2852,Q.3.45,Q2856,Q.3.46,Q2860,Q.3.47,Q2864,Q.3.48,Q2868,Q.3.49,Q2872,Q.3.50,Q2876,Q.4.1,Q6247,Q.4.2,Q6251,Q.4.3,Q6255,Q.4.4,Q6259,Q.4.5,Q6263,Q.4.6,Q6267,Q.4.7,Q6271,Q.4.8,Q6275,Q.4.9,Q6279,Q.4.10,Q6283,Q.4.11,Q6287,Q.4.12,Q6291,Q.4.13,Q6295,Q.4.14,Q6299,Q.4.15,Q6303,Q.4.16,Q6307,Q.4.17,Q6311,Q.4.18,Q6315,Q.4.19,Q6319,Q.4.20,Q6323,Q.4.21,Q6327,Q.4.22,Q6331,Q.4.23,Q6335,Q.4.24,Q6339,Q.4.25,Q6343,Q.4.26,Q6347,Q.4.27,Q6351,Q.4.28,Q6355,Q.4.29,Q6359,Q.4.30,Q6361,Q6363,Q.4.31,Q6367,Q.4.32,Q6371,Q.4.33,Q6375,Q.4.34,Q6379,Q.4.35,Q6383,Q.4.36,Q6387,Q.4.37,Q6391,Q.4.38,Q6395,Q.4.39,Q6399,Q.4.40,Q6403,Q.4.41,Q6407,Q.4.42,Q6411,Q.4.43,Q6415,Q.4.44,Q6419,Q.4.45,Q6423,Q.4.46,Q6427,Q.4.47,Q6431,Q.4.48,Q6435,Q.4.49,Q6439,Q.4.50,Q6443,Q.5.1,Q1931,Q.5.2,Q1935,Q.5.3,Q1939,Q.5.4,Q1943,Q.5.5,Q1947,Q.5.6,Q3053,Q.5.7,Q3054,Q.5.8,Q1958,Q.5.9,Q1962,Q.5.10,Q1966,Q.5.11,Q1970,Q.5.12,Q1974,Q.5.13,Q1978,Q.5.14,Q1982,Q.5.15,Q1986,Q.5.16,Q1990,Q.5.17,Q1994,Q.5.18,Q1998,Q.5.19,Q2002,Q.5.20,Q2006,Q.5.21,Q2010,Q.5.22,Q2014,Q.5.23,Q2017,Q.5.24,Q2021,Q.5.25,Q2025,Q.5.26,Q2029,Q.5.27,Q2033,Q.5.28,Q2037,Q.5.29,Q2041,Q.5.30,Q2045,Q.5.31,Q2049,Q.5.32,Q2053,Q.5.33,Q2057,Q.5.34,Q2061,Q.5.35,Q2065,Q.5.36,Q2069,Q.5.37,Q2073,Q.5.38,Q2077,Q.5.39,Q2081,Q.5.40,Q2085,Q.5.41,Q2089,Q.5.42,Q2093,Q.5.43,Q2097,Q.5.44,Q2101,Q.5.45,Q2105,Q.5.46,Q2109,Q.5.47,Q2113,Q.5.48,Q2117,Q.5.49,Q2121,Q.5.50,Q2124,Q.6.1,Q5847,Q.6.2,Q5851,Q.6.3,Q5855,Q.6.4,Q5859,Q.6.5,Q5863,Q.6.6,Q5867,Q.6.7,Q5871,Q.6.8,Q5875,Q.6.9,Q5879,Q.6.10,Q5883,Q.6.11,Q5887,Q.6.12,Q5891,Q.6.13,Q5895,Q.6.14,Q5899,Q.6.15,Q5903,Q.6.16,Q5907,Q.6.17,Q5911,Q.6.18,Q5915,Q.6.19,Q5919,Q.6.20,Q5923,Q.6.21,Q5927,Q.6.22,Q5931,Q.6.23,Q5935,Q.6.24,Q5939,Q.6.25,Q5943,Q.6.26,Q5947,Q.6.27,Q5951,Q.6.28,Q5955,Q.6.29,Q5959,Q.6.30,Q5963,Q.6.31,Q5967,Q.6.32,Q5971,Q.6.33,Q5975,Q.6.34,Q5979,Q.6.35,Q5983,Q.6.36,Q5987,Q.6.37,Q5991,Q.6.38,Q5995,Q.6.39,Q5999,Q.6.40,Q6003,Q.6.41,Q6007,Q.6.42,Q6011,Q.6.43,Q6015,Q.6.44,Q6019,Q.6.45,Q6023,Q.6.46,Q6027,Q.6.47,Q6031,Q.6.48,Q6035,Q.6.49,Q6039,Q.6.50,Q6043,BFI2_1,BFI2_2,BFI2_3,BFI2_4,BFI2_5,BFI2_6,BFI2_7,BFI2_8,BFI2_9,BFI2_10,BFI2_11,BFI2_12,Q1925_1,Q1925_2,Q1925_3,Q1925_4,Q1925_5,Q1925_6,Q1925_7,Q1925_8,Q1925_9,Q1925_10,Q1925_11,Q1943_1,Q1943_2,Q1943_3,Q1943_4,Q1943_5,Q1943_6,Q1943_7,Q1943_8,Q1943_9,Q1943_10,Q6689_1,Q6689_2,Q6689_3,Q6689_4,Q6689_5,Q6689_6,Q6689_7,Q6689_8,Q6689_9,Q6689_10,Q1298_1,Q1298_2,Q1298_3,Q1298_4,Q1298_5,Q1298_6,Q1298_7,Q1298_8,Q1298_9,Q1298_10,Q1298_11,Q1298_12,Q1298_13,Q1298_14,Q1298_15,Q1298_16,Q.B_P status_1,Q.B_P status_2,Q1945,Q.subjective.status_1,Q.subjective.status_2,Q.subjective.status_3,Q.subjective.status_4,Q.subjective.status_5,Q.subjective.status_6,Q.subjective.status_7,Q.subjective.status_8,Q.subjective.status_9,Q.subjective.status_10,Q1949_1,Q1949_2,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b20,b21,b22,b23,b24,b25,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,PB19,PB20,PB21,PB22,PB23,PB24,PB25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,PB26,PB27,PB28,PB29,PB30,PB31,PB32,PB33,PB34,PB35,PB36,PB37,PB38,PB39,PB40,PB41,PB42,PB43,PB44,PB45,PB46,PB47,PB48,PB49,PB50,mTurkCode
1,988,,,,,,,,,,,,Democrat,Continue,,,,,,,,,,,,,52,65,"59,558",1000,1000,45,Male,Associate degree in college (2-year),White,,"$40,000 to $49,999","Closer to
liberals

3
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Democrat,Stop Sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree a little 2,Disagree a little 2,Disagree a little 2,Agree a litte 4,Agree strongly5,Disagree a little 2,Agree strongly5,Neutral: no opinion3,Disagree a little 2,Agree strongly5,Agree strongly5,Neutral: no opinion3,Strongly agree7,"Strongly disagree
1","Strongly disagree
1",5,5,4,2,"Strongly disagree
1","Strongly disagree
1",2,Strongly agree7,"Strongly agree
7","Strongly disagree
1","Strongly agree
7",3,2,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",2,"Strongly disagree
1",6,5,5,4,3,Strongly disagree 1,2,Strongly agree 7,Strongly agree 7,4,5,Strongly disagree 1,Strongly agree 7,5,4,Strongly agree 7,4,4,6,Strongly disagree 1,4,3,2,6,5,5,45,75,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,4,3,69,57,66,52,62,68,66,55,60,86,67,66,64,64,61,75,68,59,61,64,80,71,81,52,64,52,67,72,54,65,59,68,51,58,56,63,82,64,72,72,61,64,56,58,64,78,72,65,60,65,51,76,58,60,53,78,48,72,65,51,61,68,72,62,52,89,57,72,80,72,58,66,56,59,66,76,73,74,73,52,75,66,72,66,76,84,66,77,73,68,61,73,74,76,66,67,62,69,60,58,67,84,66,64,79,59,66,66,53,52,54,63,66,64,78,78,63,68,50,66,51,75,68,62,59,56,55,55,54,60,79,58,58,56,78,89,75,58,75,70,73,71,82,80,61,62,66,89,73,70,6832310
2,466,,Democrat,Continue,,,,,,,,,,,,,,,,,,,,,,,66,70,20000,100,1000,25,Female,Bachelor's degree in college (4-year),White,,"$80,000 to $89,999","Closer to
liberals

3
",Democrat,Continue,Republican,Continue,Republican,Stop Sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral: no opinion3,Agree a litte 4,Neutral: no opinion3,Agree a litte 4,Strongly disagree1,Neutral: no opinion3,Agree strongly5,Neutral: no opinion3,Neutral: no opinion3,Disagree a little 2,Neutral: no opinion3,Neutral: no opinion3,Strongly agree7,Strongly agree7,Strongly agree7,4,5,3,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1",4,"Strongly disagree
1","Strongly disagree
1",4,"Strongly disagree
1","Strongly agree
7","Strongly disagree
1","Strongly agree
7","Strongly agree
7",6,"Strongly disagree
1","Strongly agree
7",4,5,6,Strongly agree 7,4,Strongly disagree 1,4,Strongly disagree 1,Strongly disagree 1,Strongly disagree 1,Strongly agree 7,Strongly disagree 1,Strongly agree 7,Strongly agree 7,4,Strongly agree 7,Strongly disagree 1,4,Strongly agree 7,Strongly disagree 1,Strongly agree 7,Strongly disagree 1,Strongly disagree 1,Strongly agree 7,Strongly disagree 1,4,50,50,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,4,4,68,76,60,69,70,68,66,49,66,76,74,61,52,66,71,62,69,65,67,55,57,62,72,77,69,78,67,57,65,75,50,51,84,57,75,84,41,42,64,68,62,60,64,62,45,61,57,47,52,52,67,63,86,61,63,78,80,86,87,47,89,68,87,80,65,66,73,61,59,82,63,71,79,58,72,79,82,72,72,59,72,59,68,49,55,59,66,73,65,60,62,60,89,61,61,69,72,73,78,78,59,65,64,46,66,61,58,55,52,70,68,67,64,78,51,72,84,57,73,59,53,80,60,63,51,55,63,58,75,89,78,80,57,59,54,59,67,59,77,58,67,70,67,54,67,57,62,65,62,63,5990837
3,534,,,,,,,,,,,,,,Republican,Continue,,,,,,,,,,,71,70,15000,1000,5000,57,Female,Bachelor's degree in college (4-year),White,,"$100,000 to $149,999","Very liberal

1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Stop Sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree1,Agree strongly5,Agree strongly5,Agree strongly5,Strongly disagree1,Strongly disagree1,Agree strongly5,Agree strongly5,Strongly disagree1,Disagree a little 2,Strongly disagree1,Agree strongly5,"Strongly disagree
1",Strongly agree7,6,6,5,"Strongly disagree
1",2,"Strongly disagree
1","Strongly disagree
1",4,"Strongly disagree
1","Strongly disagree
1",5,2,"Strongly agree
7",2,"Strongly agree
7",5,6,3,"Strongly agree
7",Strongly disagree 1,5,Strongly agree 7,Strongly agree 7,Strongly disagree 1,5,6,Strongly disagree 1,2,Strongly disagree 1,Strongly agree 7,Strongly disagree 1,6,4,Strongly disagree 1,6,Strongly disagree 1,4,6,Strongly disagree 1,6,3,Strongly disagree 1,6,Strongly disagree 1,4,71,67,,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Neutral,Neutral,Neutral,2,4,71,81,70,61,67,77,76,68,66,60,79,71,55,73,86,68,63,57,76,76,72,55,72,65,68,56,84,42,59,43,45,60,68,46,66,67,64,56,64,56,66,79,76,52,53,72,76,72,65,46,60,70,51,51,78,51,60,66,65,54,71,79,86,57,59,86,59,82,64,59,69,51,70,59,63,93,68,83,63,67,82,45,52,87,76,72,73,45,60,69,82,70,83,81,73,64,76,74,69,85,72,78,60,51,70,78,65,51,63,63,79,53,63,64,68,72,51,73,56,62,92,66,65,67,50,57,78,70,78,69,79,70,64,48,60,82,71,68,63,59,89,63,67,77,61,68,72,80,65,82,9967035
4,509,,,,,,,,,,,,,,,,,,,,,,,,Republican,Continue,59,53,5000,1000,2500,37,Female,Some college but no degree,White,,"Less than $10,000","Somewhat
liberal

2
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Continue,Republican,Continue,Democrat,Continue,Republican,Continue,Democrat,Continue,Democrat,Continue,Republican,Stop Sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree a little 2,Agree strongly5,Neutral: no opinion3,Agree a litte 4,Strongly disagree1,Disagree a little 2,Agree a litte 4,Agree a litte 4,Strongly disagree1,Disagree a little 2,Disagree a little 2,Neutral: no opinion3,2,Strongly agree7,6,6,5,6,3,"Strongly disagree
1","Strongly disagree
1",4,"Strongly disagree
1","Strongly disagree
1",3,4,6,2,6,6,4,2,"Strongly agree
7",3,5,4,Strongly agree 7,5,2,3,2,2,Strongly disagree 1,4,2,5,6,5,3,2,2,3,2,4,4,5,4,3,2,59,40,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,5,4,69,49,57,70,69,68,59,87,76,89,79,89,79,66,78,76,45,65,71,68,80,72,76,78,62,57,68,59,63,68,57,41,58,45,83,78,70,52,62,53,75,60,78,72,45,56,54,63,73,55,68,68,61,59,62,66,59,63,59,60,57,60,62,71,78,57,67,87,67,85,79,80,59,64,62,70,59,69,74,68,62,79,62,79,69,62,73,76,80,76,69,66,66,65,74,78,67,73,76,71,60,58,56,73,51,46,53,45,78,59,46,66,78,46,56,59,48,64,66,56,55,64,53,57,50,57,78,86,67,72,63,60,80,65,65,67,51,59,78,62,70,56,89,63,62,54,89,52,67,73,7837130
5,458,,,,,,,,,,,,,,,,,,,,,,Democrat,Continue,,,64,72,3000,500,1000,36,Male,Bachelor's degree in college (4-year),White,,"$30,000 to $39,999","Very liberal

1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Democrat,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Continue,Republican,Stop Sampling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree1,Agree strongly5,Agree strongly5,Agree a litte 4,Strongly disagree1,Strongly disagree1,Agree strongly5,Agree strongly5,Strongly disagree1,Strongly disagree1,Strongly disagree1,Agree a litte 4,5,Strongly agree7,Strongly agree7,6,5,"Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly disagree
1","Strongly agree
7","Strongly disagree
1","Strongly agree
7","Strongly agree
7",6,"Strongly disagree
1","Strongly agree
7",Strongly agree 7,5,3,Strongly agree 7,2,Strongly disagree 1,Strongly disagree 1,Strongly disagree 1,Strongly disagree 1,Strongly disagree 1,Strongly agree 7,Strongly disagree 1,Strongly agree 7,Strongly agree 7,Strongly disagree 1,Strongly agree 7,Strongly disagree 1,5,5,Strongly disagree 1,6,5,Strongly disagree 1,5,Strongly disagree 1,Strongly disagree 1,62,26,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Like,Neutral,Neutral,Neutral,"Strongly disagree
 

1
","Strongly disagree
 

1
",63,73,62,63,73,75,80,59,65,55,76,85,89,68,60,68,73,76,69,79,69,69,68,84,78,64,41,55,64,65,64,59,66,80,54,58,41,70,80,80,46,78,67,56,62,68,67,53,52,72,59,57,68,80,68,76,75,52,51,71,59,79,59,53,60,68,51,59,58,65,64,69,67,58,58,73,62,76,70,72,64,67,45,74,83,60,71,55,81,76,62,74,55,65,62,63,78,76,67,52,66,84,68,64,64,67,66,84,51,64,82,50,64,67,73,72,60,58,50,72,58,58,58,60,58,62,76,89,58,51,63,65,79,63,58,57,69,74,64,72,80,65,79,68,63,57,57,62,61,68,7299610
